species	trait_value
Alouatta_sara	74.290000000000006
Callithrix_jacchus	5.54
Cebuella_pygmaea	21.949999999999999
Cheirogaleus_medius	14.09
Chlorocebus_pygerythrus	239.5
Colobus_guereza	188.41999999999999
Eulemur_fulvus	384.63999999999999
Eulemur_macaco	148.93000000000001
Lemur_catta	210.19999999999999
Leontocebus_lagonotus	11.18
Leontopithecus_chrysomelas	55.5
Macaca_arctoides	1679.1099999999999
Macaca_nigra	332.5
Mandrillus_sphinx	2332.0999999999999
Nomascus_concolor	74.329999999999998
Papio_hamadryas	1006.83
Saguinus_oedipus	63.200000000000003
Saimiri_boliviensis	16.579999999999998
Sapajus_apella	175.69999999999999
Semnopithecus_vetulus	1123.96
Symphalangus_syndactylus	586.60000000000002
Theropithecus_gelada	461.69999999999999
Varecia_rubra	1064.78
