species	trait_value
Aotus_trivirgatus	1.31508823529412
Callithrix_jacchus	2.3861363636363602
Cheirogaleus_medius	2.6200000000000001
Daubentonia_madagascariensis	2.0665624999999999
Eulemur_albifrons	2.8729166666666699
Eulemur_collaris	3.3155158730158698
Eulemur_coronatus	3.0801785714285699
Eulemur_flavifrons	3.9100000000000001
Eulemur_fulvus	3.7000000000000002
Eulemur_macaco	3.4892857142857099
Eulemur_mongoz	4.4657299999999998
Eulemur_rubriventer	3.4125666666666699
Galago_moholi	1.6112500000000001
Gorilla_gorilla	1.1437055933484499
Hapalemur_griseus	2.68333333333333
Lemur_catta	3.7807789855072498
Loris_tardigradus	1.3985000000000001
Macaca_arctoides	1.3031250000000001
Macaca_fascicularis	1.14110344827586
Macaca_mulatta	1.30799256838698
Macaca_nemestrina	1
Microcebus_murinus	1.96
Mirza_zaza	2.12083333333333
Nycticebus_pygmaeus	1.2450000000000001
Pan_paniscus	1.19613095238095
Pan_troglodytes	1.0294554621304599
Pongo_pygmaeus	1.39056318681319
Propithecus_coquereli	2.36652661064426
Saimiri_sciureus	1.52130449411699
Varecia_rubra	3.41624074074074
Varecia_variegata	3.0310185185185201
