species	trait_value
Aotus_trivirgatus	3.8294117647058799
Callithrix_jacchus	4.59887640449438
Cebuella_pygmaea	4.8499999999999996
Cheirogaleus_medius	5.1799999999999997
Daubentonia_madagascariensis	3.9859374999999999
Eulemur_albifrons	6.1395833333333298
Eulemur_collaris	5.5608900226757401
Eulemur_coronatus	5.3994047619047603
Eulemur_flavifrons	6.1056060606060596
Eulemur_fulvus	6.2999999999999998
Eulemur_macaco	5.7648958333333304
Eulemur_mongoz	5.2324000000000002
Eulemur_rubriventer	5.8376666666666699
Eulemur_rufifrons	5.9114102564102602
Eulemur_sanfordi	5.7066666666666697
Galago_moholi	4.4500000000000002
Gorilla_gorilla	3.8127093596059098
Hapalemur_griseus	5.0914912280701801
Lemur_catta	5.4317021276595696
Leontopithecus_chrysomelas	4.3125
Leontopithecus_rosalia	4.3250000000000002
Loris_tardigradus	4.2333333333333298
Macaca_arctoides	4.2479166666666703
Macaca_fascicularis	3.93673469387755
Macaca_mulatta	3.9030786339257002
Macaca_nemestrina	3.9319585287397798
Macaca_nigra	4.8612433862433901
Microcebus_murinus	5.2000000000000002
Mirza_zaza	4.44166666666667
Nomascus_leucogenys	4.3503463203463202
Nycticebus_pygmaeus	4.2166666666666703
Pan_paniscus	3.78861111111111
Pan_troglodytes	3.6615019461647198
Pongo_pygmaeus	4.2905742296918801
Propithecus_coquereli	4.7737394957983197
Propithecus_tattersalli	4.4666666666666703
Saimiri_sciureus	3.9810946372004099
Varecia_rubra	5.5754901960784302
Varecia_variegata	5.6639999999999997
