species	trait_value
Alouatta_seniculus	413
Aotus_trivirgatus	201
Callithrix_jacchus	113
Carlito_syrichta	49.799999999999997
Cebus_albifrons	502
Cercopithecus_ascanius	601
Cheirogaleus_major	99.400000000000006
Cheirogaleus_medius	63.200000000000003
Daubentonia_madagascariensis	473
Eulemur_fulvus	251
Galagoides_demidovii	50.200000000000003
Gorilla_beringei	1198.48
Gorilla_gorilla	1280.1700000000001
Hylobates_lar	407
Hylobates_muelleri	512
Lepilemur_ruficaudatus	133
Microcebus_murinus	36.399999999999999
Nomascus_concolor	637
Pan_paniscus	1369.51
Pan_troglodytes	1586.27
Piliocolobus_badius	479
Pongo_pygmaeus	1269.4000000000001
Propithecus_verreauxi	251
Saimiri_sciureus	277
