species	trait_value
Alouatta_palliata	2000.26
Aotus_trivirgatus	455.5
Arctocebus_calabarensis	131.22
Callimico_goeldii	278
Callithrix_jacchus	154
Carlito_syrichta	76.700000000000003
Cebuella_pygmaea	88.599999999999994
Cercocebus_torquatus	1605
Cercopithecus_ascanius	1798.5999999999999
Cercopithecus_mitis	3391.5
Cheirogaleus_medius	195
Colobus_guereza	2978
Daubentonia_madagascariensis	1383.6700000000001
Erythrocebus_patas	1068
Eulemur_fulvus	345
Eulemur_rufus	435
Euoticus_elegantulus	215.74000000000001
Galago_moholi	137.19999999999999
Galago_senegalensis	198
Galagoides_demidovii	63
Hylobates_lar	1071
Lemur_catta	489.5
Leontopithecus_rosalia	381.5
Lepilemur_mustelinus	225.09999999999999
Loris_tardigradus	128
Macaca_fascicularis	3458
Macaca_fuscata	4191.7200000000003
Macaca_mulatta	2239
Microcebus_murinus	42.310000000000002
Nycticebus_coucang	272.60000000000002
Otolemur_crassicaudatus	523
Otolemur_garnettii	412.30000000000001
Pan_troglodytes	9000
Papio_anubis	2940
Papio_cynocephalus	5784
Papio_ursinus	5147
Perodicticus_potto	326.60000000000002
Pongo_pygmaeus	4941
Propithecus_verreauxi	670
Saguinus_geoffroyi	234
Saguinus_oedipus	449.5
Saimiri_sciureus	592
Tarsius_tarsier	149
Varecia_variegata	603.63
