species	trait_value
Allenopithecus_nigroviridis	6130
Allocebus_trichotis	92
Allochrocebus_lhoesti	5970
Allochrocebus_solatus	6890
Alouatta_belzebul	7270
Alouatta_caraya	6525
Alouatta_guariba	5800
Alouatta_palliata	7150
Alouatta_pigra	11400
Alouatta_seniculus	6690
Aotus_azarae	1180
Aotus_lemurinus	752.79999999999995
Aotus_nancymaae	794
Aotus_nigriceps	875
Aotus_trivirgatus	1044.4000000000001
Aotus_vociferans	708
Arctocebus_calabarensis	312
Ateles_belzebuth	7850
Ateles_fusciceps	8890
Ateles_geoffroyi	7780
Ateles_paniscus	8490
Avahi_laniger	1106
Avahi_occidentalis	836.29999999999995
Brachyteles_arachnoides	9610
Cacajao_calvus	3450
Cacajao_melanocephalus	3160
Callicebus_personatus	1270
Callimico_goeldii	499
Callithrix_jacchus	318
Callithrix_penicillata	343.80000000000001
Carlito_syrichta	134
Cebuella_pygmaea	110
Cebus_albifrons	3180
Cebus_capucinus	3285.8000000000002
Cebus_olivaceus	3229.1999999999998
Tarsius_bancanus	128
Cercocebus_agilis	9500
Cercocebus_atys	11000
Cercocebus_galeritus	9610
Cercocebus_torquatus	9470
Cercopithecus_albogularis	6977.6999999999998
Cercopithecus_ascanius	4527.6000000000004
Cercopithecus_campbelli	4500
Cercopithecus_cephus	4290
Cercopithecus_diana	5200
Cercopithecus_erythrotis	3600
Cercopithecus_hamlyni	5490
Cercopithecus_mitis	7590.6000000000004
Cercopithecus_mona	4705
Cercopithecus_neglectus	7350
Cercopithecus_nictitans	6670
Cercopithecus_petaurista	4300
Cercopithecus_pogonias	4260
Cercopithecus_wolfi	3910
Cheirogaleus_major	438
Cheirogaleus_medius	140
Cheracebus_torquatus	1280
Chiropotes_satanas	3100
Chlorocebus_aethiops	4400
Chlorocebus_pygerythrus	5071.1999999999998
Chlorocebus_sabaeus	4923.6000000000004
Colobus_angolensis	9680
Colobus_guereza	9673
Colobus_polykomos	9900
Colobus_satanas	10400
Colobus_vellerosus	8420
Daubentonia_madagascariensis	2620
Erythrocebus_patas	12400
Eulemur_albifrons	2390
Eulemur_cinereiceps	2150
Eulemur_coronatus	1280
Eulemur_fulvus	2250
Eulemur_macaco	2350
Eulemur_mongoz	1143.3
Eulemur_rubriventer	1980
Eulemur_rufus	2170
Eulemur_sanfordi	1870
Euoticus_elegantulus	287
Galago_matschiei	207
Galago_moholi	149.59999999999999
Galago_senegalensis	200.30000000000001
Galagoides_demidovii	76.200000000000003
Galagoides_zanzibaricus	149
Gorilla_beringei	162500
Gorilla_gorilla	170400
Hapalemur_alaotrensis	1228
Hapalemur_griseus	748
Hoolock_hoolock	7106.5
Hylobates_agilis	5880
Hylobates_klossii	5670
Hylobates_lar	5809.1999999999998
Hylobates_moloch	6580
Hylobates_muelleri	5632.3000000000002
Hylobates_pileatus	5500
Indri_indri	5830
Lagothrix_lagotricha	7280
Lemur_catta	2210
Leontocebus_fuscicolis	404.60000000000002
Leontopithecus_chrysomelas	610
Leontopithecus_rosalia	620
Lepilemur_dorsalis	817
Lepilemur_edwardsi	928
Lepilemur_leucopus	617
Lepilemur_ruficaudatus	806
Lophocebus_albigena	7890
Lophocebus_aterrimus	7840
Loris_lydekkerianus	264
Loris_tardigradus	192
Macaca_arctoides	12200
Macaca_assamensis	11300
Macaca_cyclopis	6000
Macaca_fascicularis	4984.1999999999998
Macaca_fuscata	10970
Macaca_leonina	6520.5
Macaca_mulatta	7915.1000000000004
Macaca_nemestrina	11102.700000000001
Macaca_nigra	9890
Macaca_ochreata	4200
Macaca_radiata	6312.5
Macaca_silenus	8900
Macaca_sinica	5680
Macaca_sylvanus	14530.299999999999
Macaca_thibetana	15200
Mandrillus_leucophaeus	17500
Mandrillus_sphinx	34400
Mico_argentatus	330
Mico_humeralifer	360
Microcebus_murinus	63
Microcebus_myoxinus	31
Microcebus_rufus	43
Miopithecus_talapoin	1940
Mirza_coquereli	311
Nasalis_larvatus	19391.799999999999
Nomascus_concolor	7790
Nomascus_gabriellae	7410
Nycticebus_bengalensis	1100
Nycticebus_coucang	679
Nycticebus_pygmaeus	462
Otolemur_crassicaudatus	1190
Otolemur_garnettii	794
Pan_paniscus	45000
Pan_troglodytes	49566.699999999997
Papio_anubis	23000
Papio_cynocephalus	22300
Papio_hamadryas	18000
Papio_ursinus	29800
Perodicticus_potto	802.10000000000002
Phaner_furcifer	328
Piliocolobus_badius	8360
Piliocolobus_kirkii	5800
Piliocolobus_tephrosceles	9559.6000000000004
Pithecia_irrorata	2250
Pithecia_pithecia	1940
Plecturocebus_donacophilus	991
Plecturocebus_hoffmansi	1090
Plecturocebus_moloch	1020
Pongo_abelii	84482.5
Pongo_pygmaeus	80136.899999999994
Presbytis_comata	6680
Presbytis_melalophos	6554.3000000000002
Procolobus_verus	4700
Prolemur_simus	2150
Propithecus_coquereli	3700
Propithecus_deckenii	3430
Propithecus_diadema	6050
Propithecus_edwardsi	5468.8000000000002
Propithecus_tattersalli	3390
Propithecus_verreauxi	2930
Pygathrix_nemaeus	11000
Rhinopithecus_roxellana	17900
Saguinus_bicolor	428
Saguinus_geoffroyi	499.30000000000001
Saguinus_imperator	474
Saguinus_leucopus	510
Saguinus_midas	535
Saguinus_mystax	629.29999999999995
Saguinus_niger	380
Saguinus_oedipus	416.60000000000002
Saimiri_boliviensis	1020
Saimiri_oerstedii	897
Saimiri_sciureus	855
Sapajus_apella	3382.8000000000002
Sapajus_xanthosternos	2714.3000000000002
Semnopithecus_entellus	18144
Semnopithecus_johnii	12000
Semnopithecus_vetulus	7371
Symphalangus_syndactylus	11880
Theropithecus_gelada	19000
Trachypithecus_cristatus	6728.1000000000004
Trachypithecus_geei	10800
Trachypithecus_obscurus	7346.8999999999996
Trachypithecus_phayrei	7767.8000000000002
Trachypithecus_pileatus	12247
Varecia_rubra	3600
Varecia_variegata	3630
