species	trait_value
Allenopithecus_nigroviridis	8.4456971900000006
Allochrocebus_lhoesti	8.4574431870000009
Alouatta_belzebul	8.763271714
Alouatta_caraya	8.5910011189999995
Alouatta_guariba	8.5515946179999993
Alouatta_palliata	8.7403367430000003
Alouatta_pigra	9.0954905299999993
Alouatta_seniculus	8.6911464990000002
Aotus_azarae	7.094234846
Aotus_lemurinus	6.5985090289999997
Aotus_nancymaae	6.6682282480000001
Aotus_trivirgatus	6.896694332
Arctocebus_aureus	5.3471075309999998
Arctocebus_calabarensis	5.7333412770000001
Ateles_belzebuth	9.0078569230000003
Ateles_fusciceps	9.1077537829999997
Ateles_geoffroyi	8.9273141109999994
Ateles_hybridus	8.9697963059999992
Ateles_paniscus	9.021598247
Avahi_laniger	7.0958932209999999
Avahi_occidentalis	6.6858609470000001
Brachyteles_arachnoides	9.0870421560000008
Cacajao_calvus	8.0599083349999994
Cacajao_melanocephalus	7.9844627319999999
Callimico_goeldii	6.1820849070000001
Callithrix_jacchus	5.7683209959999999
Callithrix_kuhlii	5.922462747
Callithrix_penicillata	5.7930136079999999
Carlito_syrichta	4.836281907
Cebuella_pygmaea	4.7535901909999998
Cebus_albifrons	7.9138867150000003
Cebus_capucinus	7.9589264929999999
Cebus_olivaceus	7.9830989409999997
Tarsius_bancanus	4.836281907
Cercocebus_agilis	8.9332684790000005
Cercocebus_atys	9.0595174820000004
Cercocebus_galeritus	8.9139538589999994
Cercocebus_torquatus	8.9206562970000007
Cercopithecus_ascanius	8.2198647420000004
Cercopithecus_campbelli	8.1886891239999997
Cercopithecus_cephus	8.1845137529999992
Cercopithecus_diana	8.4228825119999993
Cercopithecus_hamlyni	8.3950255570000003
Cercopithecus_mitis	8.7175183730000008
Cercopithecus_mona	8.2212100939999999
Cercopithecus_neglectus	8.6033708880000006
Cercopithecus_nictitans	8.6061194010000008
Cercopithecus_petaurista	8.1911860050000005
Cercopithecus_pogonias	8.1831180789999998
Cheirogaleus_major	5.9914645469999996
Cheirogaleus_medius	4.9416424230000002
Chiropotes_albinasus	7.953845448
Chiropotes_chiropotes	7.9157131989999998
Chlorocebus_aethiops	8.2214789469999996
Chlorocebus_pygerythrus	8.3719361790000004
Chlorocebus_sabaeus	8.369157113
Colobus_angolensis	9.062420242
Colobus_guereza	9.0582375939999995
Colobus_polykomos	9.1160296929999998
Colobus_satanas	9.0949295200000009
Colobus_vellerosus	8.9644398340000002
Daubentonia_madagascariensis	7.8458075029999996
Erythrocebus_patas	9.1537700199999996
Eulemur_albifrons	7.756195344
Eulemur_collaris	7.8058657470000004
Eulemur_coronatus	7.0732697169999996
Eulemur_fulvus	7.7371800779999997
Eulemur_macaco	7.7790486449999996
Eulemur_mongoz	7.1000271670000004
Eulemur_rubriventer	7.5806997520000001
Eulemur_rufus	7.7052624749999996
Eulemur_sanfordi	7.6469125719999997
Euoticus_elegantulus	5.6131281059999996
Euoticus_pallidus	5.7037824749999997
Galago_matschiei	5.3471075309999998
Galago_moholi	4.9972122739999998
Galago_senegalensis	5.2678581590000002
Galagoides_demidovii	4.3174881139999997
Galagoides_zanzibaricus	4.9628446300000002
Gorilla_beringei	11.775289730000001
Gorilla_gorilla	11.70313252
Hapalemur_alaotrensis	7.1228666589999996
Hapalemur_griseus	6.5638555270000003
Hylobates_agilis	8.6741969399999999
Hylobates_klossii	8.6647507560000001
Hylobates_lar	8.6296286210000002
Hylobates_muelleri	8.6692273469999996
Hylobates_pileatus	8.6070338950000007
Indri_indri	8.7538450930000007
Lagothrix_cana	9.0137170300000005
Lagothrix_lagotricha	8.8748676359999994
Lemur_catta	7.7007477949999998
Leontocebus_fuscicolis	5.9939614270000003
Leontocebus_nigricollis	6.1654178540000002
Leontopithecus_chrysomelas	6.4846352359999999
Leontopithecus_rosalia	6.4118182680000002
Lepilemur_dorsalis	6.7684932120000001
Lepilemur_edwardsi	6.8362592769999999
Lepilemur_leucopus	6.4068799859999999
Lepilemur_microdon	6.877296071
Lepilemur_mustelinus	6.6554403500000001
Lepilemur_ruficaudatus	6.6908422769999998
Lophocebus_albigena	8.8464969389999997
Lophocebus_aterrimus	8.8246778910000003
Loris_lydekkerianus	5.587248658
Loris_tardigradus	5.2626901889999997
Macaca_arctoides	9.2398991739999996
Macaca_assamensis	9.1160296929999998
Macaca_cyclopis	8.6070338950000007
Macaca_fascicularis	8.3549095280000003
Macaca_fuscata	9.1606247799999991
Macaca_leonina	8.6379938920000008
Macaca_maura	8.6243205449999998
Macaca_mulatta	8.8236479489999997
Macaca_nemestrina	9.0848905210000002
Macaca_nigra	8.9463748259999996
Macaca_radiata	8.5338536319999996
Macaca_silenus	8.9226583000000002
Macaca_sinica	8.398409655
Macaca_sylvanus	9.3991408950000004
Macaca_tonkeana	9.0039310199999996
Mandrillus_leucophaeus	9.6158054800000006
Mandrillus_sphinx	10.06900199
Microcebus_murinus	4.1743872700000004
Microcebus_rufus	3.7612001159999999
Miopithecus_ogouensis	7.4673710670000002
Miopithecus_talapoin	7.0900768359999997
Mirza_coquereli	5.7430031880000003
Nasalis_larvatus	9.5861020010000004
Nomascus_gabriellae	8.9044943290000003
