species	trait_value
Allenopithecus_nigroviridis	53.700000000000003
Allochrocebus_lhoesti	67.299999999999997
Alouatta_belzebul	51.189999999999998
Alouatta_caraya	47.799999999999997
Alouatta_guariba	49.079999999999998
Alouatta_palliata	48.039999999999999
Alouatta_pigra	48.75
Alouatta_seniculus	54.259999999999998
Aotus_azarae	20.690000000000001
Aotus_lemurinus	16.25
Aotus_trivirgatus	16.129999999999999
Arctocebus_calabarensis	6.5300000000000002
Ateles_belzebuth	112.75
Ateles_fusciceps	108.73999999999999
Ateles_geoffroyi	109.59
Ateles_paniscus	101.2
Avahi_laniger	10.1
Brachyteles_arachnoides	115.94
Cacajao_calvus	74.299999999999997
Cacajao_melanocephalus	64.930000000000007
Callimico_goeldii	11.9
Callithrix_jacchus	7.0499999999999998
Callithrix_penicillata	7.3799999999999999
Carlito_syrichta	3.27
Cebuella_pygmaea	4.3300000000000001
Cebus_albifrons	63.240000000000002
Cebus_capucinus	72.120000000000005
Cebus_olivaceus	68.379999999999995
Tarsius_bancanus	3.1699999999999999
Cercocebus_agilis	100.89
Cercocebus_atys	86.799999999999997
Cercocebus_galeritus	95.340000000000003
Cercocebus_torquatus	94.980000000000004
Cercopithecus_albogularis	66.159999999999997
Cercopithecus_ascanius	54.899999999999999
Cercopithecus_campbelli	54.390000000000001
Cercopithecus_cephus	61.689999999999998
Cercopithecus_diana	55.149999999999999
Cercopithecus_hamlyni	58.799999999999997
Cercopithecus_mitis	65.239999999999995
Cercopithecus_mona	57.75
Cercopithecus_neglectus	60.859999999999999
Cercopithecus_nictitans	67.519999999999996
Cercopithecus_petaurista	52.07
Cercopithecus_pogonias	56.560000000000002
Cercopithecus_wolfi	57.200000000000003
Cheirogaleus_major	5.6299999999999999
Cheirogaleus_medius	2.6000000000000001
Cheracebus_torquatus	19.84
Chiropotes_satanas	47.509999999999998
Chlorocebus_aethiops	59
Chlorocebus_pygerythrus	59.420000000000002
Chlorocebus_sabaeus	59.390000000000001
Colobus_angolensis	72.299999999999997
Colobus_guereza	69.769999999999996
Colobus_polykomos	70.230000000000004
Colobus_satanas	71.799999999999997
Colobus_vellerosus	69.730000000000004
Daubentonia_madagascariensis	47.189999999999998
Erythrocebus_patas	88.859999999999999
Eulemur_coronatus	21.91
Eulemur_fulvus	25.390000000000001
Eulemur_macaco	24.920000000000002
Eulemur_mongoz	19.690000000000001
Eulemur_rubriventer	26.93
Eulemur_rufus	27.5
Euoticus_elegantulus	5.4800000000000004
Galago_matschiei	4.4299999999999997
Galago_moholi	3.6400000000000001
Galago_senegalensis	3.8999999999999999
Galagoides_demidovii	2.6600000000000001
Galagoides_zanzibaricus	3.75
Gorilla_beringei	480.14999999999998
Gorilla_gorilla	455.88999999999999
Hapalemur_griseus	13.99
Hoolock_hoolock	105.78
Hylobates_agilis	90.930000000000007
Hylobates_klossii	90.549999999999997
Hylobates_lar	100.48999999999999
Hylobates_muelleri	86.950000000000003
Hylobates_pileatus	83.829999999999998
Indri_indri	34.140000000000001
Lagothrix_lagotricha	98
Lemur_catta	19.75
Leontocebus_fuscicolis	8.0299999999999994
Leontopithecus_chrysomelas	11.859999999999999
Leontopithecus_rosalia	12.67
Lepilemur_dorsalis	6.7000000000000002
Lepilemur_edwardsi	8
Lepilemur_leucopus	6.7999999999999998
Lepilemur_ruficaudatus	7
Lophocebus_albigena	89.959999999999994
Lophocebus_aterrimus	91
Loris_lydekkerianus	6.5300000000000002
Loris_tardigradus	5.9299999999999997
Macaca_arctoides	99.799999999999997
Macaca_assamensis	88.299999999999997
Macaca_cyclopis	73
Macaca_fascicularis	62.140000000000001
Macaca_fuscata	96.780000000000001
Macaca_leonina	82.120000000000005
Macaca_mulatta	84.260000000000005
Macaca_nemestrina	100.65000000000001
Macaca_nigra	84.5
Macaca_radiata	69.379999999999995
Macaca_silenus	80
Macaca_sinica	66
Macaca_sylvanus	97.930000000000007
Mandrillus_leucophaeus	136
Mandrillus_sphinx	146.63
Mico_argentatus	8.3599999999999994
Mico_humeralifer	8.1999999999999993
Microcebus_murinus	1.6599999999999999
Microcebus_rufus	1.8
Miopithecus_talapoin	34.759999999999998
Mirza_coquereli	5.2300000000000004
Nasalis_larvatus	83.840000000000003
Nomascus_gabriellae	117.25
Nycticebus_bengalensis	13.23
Nycticebus_coucang	9.5399999999999991
Otolemur_crassicaudatus	11.06
Otolemur_garnettii	10.24
Pan_paniscus	326.25
Pan_troglodytes	350.54000000000002
Papio_anubis	152.44999999999999
Papio_cynocephalus	156.13
Papio_hamadryas	133
Papio_ursinus	165
Perodicticus_potto	11.869999999999999
Phaner_furcifer	6.7800000000000002
Piliocolobus_badius	62.460000000000001
Piliocolobus_kirkii	55.5
Piliocolobus_tephrosceles	72.450000000000003
Pithecia_pithecia	32.579999999999998
Pongo_abelii	341.20999999999998
Pongo_pygmaeus	337.72000000000003
Presbytis_comata	59
Presbytis_melalophos	59.210000000000001
Procolobus_verus	51.630000000000003
Propithecus_deckenii	28.949999999999999
Propithecus_diadema	40.509999999999998
Propithecus_edwardsi	40.240000000000002
Propithecus_verreauxi	24.920000000000002
Pygathrix_nemaeus	89.5
Rhinopithecus_roxellana	112.7
Saguinus_geoffroyi	10.19
Saguinus_leucopus	9.6099999999999994
Saguinus_midas	9.9800000000000004
Saguinus_mystax	10.99
Saguinus_niger	9.6199999999999992
