species	trait_value
Allenopithecus_nigroviridis	4.060787779
Allochrocebus_lhoesti	4.3067641500000002
Alouatta_belzebul	3.96726848
Alouatta_caraya	3.963286299
Alouatta_guariba	3.9454577820000001
Alouatta_palliata	3.9096201210000001
Alouatta_pigra	3.9343714090000002
Alouatta_seniculus	4.0113252069999996
Aotus_azarae	3.0286833739999999
Aotus_lemurinus	2.791165108
Aotus_nancymaae	2.884241898
Aotus_trivirgatus	2.8243506570000001
Arctocebus_aureus	1.7715567619999999
Arctocebus_calabarensis	1.93441577
Ateles_belzebuth	4.7623448599999998
Ateles_fusciceps	4.7383014990000003
Ateles_geoffroyi	4.6548171260000002
Ateles_hybridus	4.635214307
Ateles_paniscus	4.6429475499999997
Avahi_laniger	2.288486169
Avahi_occidentalis	2.0731719289999999
Brachyteles_arachnoides	4.7597779039999999
Cacajao_calvus	4.3307333400000001
Cacajao_melanocephalus	4.2307676030000003
Callimico_goeldii	2.4362414779999999
Callithrix_jacchus	1.979621206
Callithrix_kuhlii	2.0756844929999998
Callithrix_penicillata	1.990610328
Carlito_syrichta	1.211940974
Cebuella_pygmaea	1.4586150229999999
Cebus_albifrons	4.1812864919999999
Cebus_capucinus	4.2895000769999996
Cebus_olivaceus	4.2462069119999999
Tarsius_bancanus	1.150572028
Cercocebus_agilis	4.7572902340000001
Cercocebus_atys	4.5505027849999999
Cercocebus_galeritus	4.5958266710000002
Cercocebus_torquatus	4.6633447500000003
Cercopithecus_ascanius	4.0873199470000001
Cercopithecus_campbelli	4.049870072
Cercopithecus_cephus	4.1783792909999997
Cercopithecus_diana	4.1369250099999997
Cercopithecus_hamlyni	4.1881384419999996
Cercopithecus_mitis	4.2673169959999999
Cercopithecus_mona	4.1245504039999998
Cercopithecus_neglectus	4.1892000930000002
Cercopithecus_nictitans	4.264509189
Cercopithecus_petaurista	4.0087866740000004
Cercopithecus_pogonias	4.0869842079999996
Cheirogaleus_major	1.7595805710000001
Cheirogaleus_medius	0.95551144499999996
Chiropotes_albinasus	4.0542167710000001
Chiropotes_chiropotes	4.0437527759999998
Chlorocebus_aethiops	4.1743872700000004
Chlorocebus_pygerythrus	4.1364457379999999
Chlorocebus_sabaeus	4.173001695
Colobus_angolensis	4.3528552569999999
Colobus_guereza	4.3093215239999996
Colobus_polykomos	4.3017651529999998
Colobus_satanas	4.3161538909999999
Colobus_vellerosus	4.2914178859999996
Daubentonia_madagascariensis	3.8033235890000001
Erythrocebus_patas	4.582208574
Eulemur_albifrons	3.065724645
Eulemur_collaris	3.1570004209999998
Eulemur_coronatus	3.0277153189999999
Eulemur_fulvus	3.2492110250000001
Eulemur_macaco	3.199081198
Eulemur_mongoz	3.0041963520000001
Eulemur_rubriventer	3.2669037940000001
Eulemur_rufus	3.2347491740000001
Eulemur_sanfordi	3.056356895
Euoticus_elegantulus	1.7101878159999999
Euoticus_pallidus	1.6467336969999999
Galago_matschiei	1.530394705
Galago_moholi	1.311031877
Galago_senegalensis	1.3762440250000001
Galagoides_demidovii	0.97455963999999995
Galagoides_zanzibaricus	1.255616037
Gorilla_beringei	6.1969938750000004
Gorilla_gorilla	6.1952417759999996
Hapalemur_alaotrensis	2.6246685919999999
Hapalemur_griseus	2.6454653260000001
Hylobates_agilis	4.5126162040000004
Hylobates_klossii	4.4772231720000004
Hylobates_lar	4.6236974909999997
Hylobates_muelleri	4.4441794999999997
Hylobates_pileatus	4.4389975310000001
Indri_indri	3.5499047020000001
Lagothrix_cana	4.59854831
Lagothrix_lagotricha	4.5695430080000001
Lemur_catta	3.131136911
Leontocebus_fuscicolis	2.071913275
Leontocebus_nigricollis	2.1860512769999998
Leontopithecus_chrysomelas	2.4714836290000002
Leontopithecus_rosalia	2.551786179
Lepilemur_dorsalis	1.902107526
Lepilemur_edwardsi	1.981001469
Lepilemur_leucopus	1.927164106
Lepilemur_microdon	2.2772672850000002
Lepilemur_mustelinus	2.2575877270000002
Lepilemur_ruficaudatus	2.1102132
Lophocebus_albigena	4.5429755820000004
Lophocebus_aterrimus	4.6209451049999997
Loris_lydekkerianus	1.8468787680000001
Loris_tardigradus	1.7698546340000001
Macaca_arctoides	4.6121458000000004
Macaca_assamensis	4.5049077640000004
Macaca_cyclopis	4.4067192469999998
Macaca_fascicularis	4.158570535
Macaca_fuscata	4.6339519869999997
Macaca_leonina	4.449685283
Macaca_maura	4.4701519740000002
Macaca_mulatta	4.4884116250000003
Macaca_nemestrina	4.6595636699999998
Macaca_nigra	4.5528237059999999
