species	trait_value
Callithrix_jacchus	374.33333333333297
Cebuella_pygmaea	300.33333333333297
Daubentonia_madagascariensis	146.42222222222199
Eulemur_albifrons	1862.44444444444
Eulemur_collaris	937.83333333333303
Eulemur_coronatus	1290.3333333333301
Eulemur_flavifrons	1400.5416666666699
Eulemur_fulvus	1080.5
Eulemur_macaco	1156.5462962962999
Eulemur_mongoz	1303.5321969697
Eulemur_rubriventer	695.38809523809505
Eulemur_sanfordi	1189.1458333333301
Galago_moholi	389
Gorilla_gorilla	280.809649122807
Hapalemur_griseus	1083.51470588235
Lemur_catta	1206.11904761905
Leontopithecus_chrysomelas	1567.3333333333301
Leontopithecus_rosalia	7895.1071428571404
Loris_tardigradus	102
Macaca_arctoides	334.3125
Macaca_fascicularis	368.40625
Macaca_mulatta	293.26945962534199
Macaca_nemestrina	490.66666666666703
Macaca_nigra	572.5
Mirza_zaza	2059.6666666666702
Nomascus_leucogenys	305
Nycticebus_pygmaeus	49
Pan_paniscus	142.64484126984101
Pan_troglodytes	286.85906219445297
Pongo_pygmaeus	142.280753968254
Propithecus_coquereli	282.44999999999999
Propithecus_tattersalli	215
Saimiri_sciureus	782.642857142857
Varecia_rubra	515.50444444444395
Varecia_variegata	539.125
