species	trait_value
Callithrix_jacchus	105.26865671641799
Cebuella_pygmaea	117
Cheirogaleus_medius	96.3333333333333
Daubentonia_madagascariensis	111.046875
Eulemur_albifrons	102.10833333333299
Eulemur_collaris	102.293764172336
Eulemur_coronatus	105.791666666667
Eulemur_flavifrons	102.75303030303
Eulemur_fulvus	102.75
Eulemur_macaco	103.96555555555599
Eulemur_mongoz	104.86466666666701
Eulemur_rubriventer	102.21916666666699
Eulemur_rufifrons	102.875641025641
Eulemur_sanfordi	105.533333333333
Galago_moholi	113.5
Gorilla_gorilla	104.75
Hapalemur_griseus	99.026315789473699
Lemur_catta	108.40597826087
Leontopithecus_chrysomelas	110
Leontopithecus_rosalia	111.25
Loris_tardigradus	108
Macaca_arctoides	107.659722222222
Macaca_fascicularis	105.72619047619
Macaca_mulatta	107.004579889807
Macaca_nigra	113.991666666667
Mirza_zaza	109.902777777778
Nomascus_leucogenys	107.625
Nycticebus_pygmaeus	108
Pan_troglodytes	102.492593120251
Pongo_pygmaeus	106.40000000000001
Propithecus_coquereli	109.149470899471
Propithecus_tattersalli	105.666666666667
Saimiri_sciureus	113.571428571429
Varecia_rubra	105.009259259259
Varecia_variegata	102.520833333333
