species	trait_value
Aotus_trivirgatus	93.515151515151501
Callithrix_jacchus	151.666666666667
Cheirogaleus_medius	128.333333333333
Daubentonia_madagascariensis	139.598958333333
Eulemur_albifrons	121.8125
Eulemur_collaris	93.405782312925197
Eulemur_coronatus	82.595238095238102
Eulemur_flavifrons	99.988636363636402
Eulemur_fulvus	96.75
Eulemur_macaco	126.210416666667
Eulemur_mongoz	83.510869565217405
Eulemur_rubriventer	120.706666666667
Eulemur_rufifrons	89.698717948717899
Eulemur_sanfordi	99.408333333333303
Galago_moholi	263.625
Gorilla_gorilla	297.54789510006901
Hapalemur_griseus	137.435087719298
Lemur_catta	85.132407407407399
Macaca_arctoides	153.31439393939399
Macaca_fascicularis	124.81914893617
Macaca_mulatta	147.78518992725
Macaca_nemestrina	142.333333333333
Macaca_nigra	113
Mirza_zaza	130.416666666667
Nycticebus_pygmaeus	246
Pan_paniscus	245.924801587302
Pan_troglodytes	208.288147338096
Pongo_pygmaeus	210.181913919414
Propithecus_coquereli	95.756652661064393
Propithecus_tattersalli	124.666666666667
Saimiri_sciureus	167.89074963925
Varecia_rubra	64.461764705882402
Varecia_variegata	61.362499999999997
