species	trait_value
Alouatta_seniculus	3344
Aotus_trivirgatus	1098
Ateles_geoffroyi	5334
Avahi_laniger	862
Avahi_occidentalis	861
Callimico_goeldii	739
Callithrix_jacchus	554
Carlito_syrichta	303
Cebuella_pygmaea	342
Cebus_albifrons	3996
Cercopithecus_ascanius	3605
Cercopithecus_mitis	4176
Cheirogaleus_major	489
Cheirogaleus_medius	235
Daubentonia_madagascariensis	3539
Erythrocebus_patas	5423
Eulemur_fulvus	1713
Galago_senegalensis	382
Galagoides_demidovii	246
Gorilla_gorilla	19370
Hylobates_lar	5716
Indri_indri	2911
Lagothrix_lagotricha	5721
Lepilemur_ruficaudatus	593
Lophocebus_albigena	5351
Loris_tardigradus	538
Macaca_mulatta	4480
Microcebus_murinus	134
Miopithecus_talapoin	2375
Nasalis_larvatus	5310
Nycticebus_coucang	1077
Otolemur_crassicaudatus	785
Pan_troglodytes	15392
Papio_anubis	9280
Perodicticus_potto	1024
Piliocolobus_badius	3945
Pithecia_monachus	2285
Pongo_pygmaeus	13500
Propithecus_verreauxi	2195
Pygathrix_nemaeus	4727
Saguinus_midas	692
Saguinus_oedipus	754
Saimiri_sciureus	1430
Varecia_variegata	2529
