species	trait_value
Alouatta_caraya	282
Ateles_geoffroyi	362
Avahi_laniger	36
Cebuella_pygmaea	14
Cebus_albifrons	310
Cercocebus_agilis	232
Cercopithecus_mitis	782
Colobus_angolensis	304
Galagoides_demidovii	10
Gorilla_gorilla	1921.75
Hylobates_lar	262
Hylobates_muelleri	572
Indri_indri	170
Leontopithecus_rosalia	42
Lophocebus_albigena	540
Loris_tardigradus	12
Macaca_maura	480
Pan_paniscus	1729.6700000000001
Pan_troglodytes	1350
Perodicticus_potto	20
Piliocolobus_badius	232
Pithecia_pithecia	270
Pongo_abelii	1214
Pongo_pygmaeus	2054
Saguinus_geoffroyi	18
Saguinus_oedipus	26
Symphalangus_syndactylus	294
Trachypithecus_francoisi	434
Varecia_variegata	88
