species	trait_value
Callithrix_jacchus	58.442168674698799
Cebuella_pygmaea	445.433333333333
Cheirogaleus_medius	50.3333333333333
Daubentonia_madagascariensis	82.077777777777797
Eulemur_albifrons	332.16666666666703
Eulemur_collaris	239.82930839002299
Eulemur_coronatus	90.190476190476204
Eulemur_flavifrons	266.67500000000001
Eulemur_fulvus	126.166666666667
Eulemur_macaco	144.458333333333
Eulemur_mongoz	181.29433333333299
Eulemur_rubriventer	250.595
Eulemur_rufifrons	291.04166666666703
Eulemur_sanfordi	147.32499999999999
Galago_moholi	20.3333333333333
Gorilla_gorilla	206.87192982456099
Hapalemur_griseus	92.439814814814795
Lemur_catta	84.9427083333333
Leontopithecus_chrysomelas	258.055555555556
Leontopithecus_rosalia	470.12857142857098
Loris_tardigradus	43
Macaca_arctoides	448.68518518518499
Macaca_fascicularis	183.65147058823499
Macaca_mulatta	231.99153882578199
Macaca_nemestrina	259.75654285714302
Macaca_nigra	73.6666666666667
Microcebus_murinus	988
Mirza_zaza	153.316666666667
Nomascus_leucogenys	80
Nycticebus_pygmaeus	7.5
Pan_paniscus	544.86363636363603
Pan_troglodytes	256.54430210572599
Pongo_pygmaeus	344.58809523809498
Propithecus_coquereli	53.2916666666667
Propithecus_tattersalli	210.666666666667
Saguinus_oedipus	234.14324324324301
Saimiri_sciureus	92.123148148148104
Varecia_rubra	90.872222222222206
Varecia_variegata	117.2
