species	trait_value
Callithrix_jacchus	11.880597014925399
Cheirogaleus_medius	12
Daubentonia_madagascariensis	17.828125
Eulemur_albifrons	17.4097222222222
Eulemur_collaris	12.352947845805
Eulemur_coronatus	10.375
Eulemur_flavifrons	21.209523809523802
Eulemur_fulvus	7.5
Eulemur_macaco	10.0107142857143
Eulemur_mongoz	8.6850000000000005
Eulemur_rubriventer	6.6883333333333299
Eulemur_rufifrons	13.9538461538462
Eulemur_sanfordi	20.1944444444444
Hapalemur_griseus	4.4692982456140404
Lemur_catta	21.904814814814799
Macaca_arctoides	42.1458333333333
Macaca_fascicularis	60.690476190476197
Macaca_mulatta	53.14375275447
Mirza_zaza	9.6875
Nycticebus_pygmaeus	17
Pan_troglodytes	30.638577857327899
Propithecus_coquereli	12.3383838383838
Propithecus_tattersalli	11
Saimiri_sciureus	33.899999999999999
Varecia_rubra	11.101851851851899
Varecia_variegata	8.0444444444444407
