species	trait_value
Callithrix_jacchus	46.516796874999997
Cebuella_pygmaea	40.0138888888889
Cheirogaleus_medius	46.399999999999999
Daubentonia_madagascariensis	47.083072916666701
Eulemur_albifrons	39.637500000000003
Eulemur_collaris	44.561865079365099
Eulemur_coronatus	49.631547619047602
Eulemur_flavifrons	47.017101449275401
Eulemur_fulvus	42.316666666666698
Eulemur_macaco	45.379062500000003
Eulemur_mongoz	44.474400000000003
Eulemur_rubriventer	47.421999999999997
Eulemur_rufifrons	43.374166666666703
Eulemur_sanfordi	44.054166666666703
Galago_moholi	42.837499999999999
Gorilla_gorilla	38.2053209109731
Hapalemur_griseus	43.330092592592599
Lemur_catta	49.508923611111101
Leontopithecus_chrysomelas	43.2152777777778
Leontopithecus_rosalia	41.966071428571396
Loris_tardigradus	40.633333333333297
Macaca_arctoides	37.364516129032303
Macaca_fascicularis	41.482812500000001
Macaca_mulatta	40.7176441183381
Macaca_nemestrina	39.096428571428604
Macaca_nigra	37.3333333333333
Microcebus_murinus	45.5
Mirza_zaza	43.751666666666701
Nomascus_leucogenys	47.5
Nycticebus_pygmaeus	39.316666666666698
Pan_paniscus	41.246341991342
Pan_troglodytes	42.8609290872161
Pongo_pygmaeus	40.250083774250399
Propithecus_coquereli	38.8226700680272
Propithecus_tattersalli	38.3333333333333
Saguinus_oedipus	43.602054263565897
Saimiri_sciureus	45.756967066053598
Varecia_rubra	47.2451851851852
Varecia_variegata	48.968499999999999
