species	trait_value
Ateles_geoffroyi	629
Avahi_occidentalis	137
Carlito_syrichta	42.5
Cebuella_pygmaea	69.200000000000003
Cebus_albifrons	418
Cercopithecus_ascanius	410
Cheirogaleus_major	101
Eulemur_fulvus	239
Galagoides_demidovii	45.100000000000001
Gorilla_gorilla	2215
Hylobates_lar	629
Lagothrix_lagotricha	624
Lepilemur_ruficaudatus	114
Lophocebus_albigena	681
Loris_tardigradus	80.900000000000006
Microcebus_murinus	29.800000000000001
Nasalis_larvatus	671
Otolemur_crassicaudatus	127
Pan_troglodytes	1739
Papio_anubis	1076
Perodicticus_potto	160
Piliocolobus_badius	484
Propithecus_verreauxi	328
Saguinus_oedipus	152
Saimiri_sciureus	207
