species	trait_value
Alouatta_palliata	90
Alouatta_seniculus	85.700000000000003
Aotus_trivirgatus	36
Ateles_geoffroyi	135.5
Avahi_laniger	27.399999999999999
Avahi_occidentalis	27.199999999999999
Callithrix_jacchus	25.699999999999999
Carlito_syrichta	20.530000000000001
Cebus_albifrons	137
Cercocebus_atys	200
Cercopithecus_ascanius	147
Cercopithecus_mitis	150
Cercopithecus_nictitans	120
Cheirogaleus_major	21.5
Cheirogaleus_medius	10.800000000000001
Daubentonia_madagascariensis	58.5
Eulemur_fulvus	51.600000000000001
Eulemur_mongoz	50
Galago_senegalensis	13
Galagoides_demidovii	10.9
Gorilla_gorilla	309
Hylobates_lar	160.66999999999999
Indri_indri	99.599999999999994
Lagothrix_lagotricha	149
Lemur_catta	60
Lepilemur_ruficaudatus	15.6
Lophocebus_albigena	182
Loris_tardigradus	24.600000000000001
Macaca_fascicularis	92
Macaca_mulatta	158
Microcebus_murinus	7.4500000000000002
Miopithecus_talapoin	116
Nycticebus_coucang	34.869999999999997
Otolemur_crassicaudatus	21.399999999999999
Pan_paniscus	275
Pan_troglodytes	269
Papio_hamadryas	220
Perodicticus_potto	22.870000000000001
Piliocolobus_badius	128
Pithecia_monachus	72.299999999999997
Plecturocebus_moloch	30
Pongo_pygmaeus	259
Propithecus_verreauxi	69.069999999999993
Saguinus_midas	36.799999999999997
Saguinus_oedipus	33
Saimiri_sciureus	62.899999999999999
Semnopithecus_entellus	140
Varecia_variegata	68.900000000000006
