species	trait_value
Callithrix_jacchus	51.566265060241001
Cebuella_pygmaea	49.5277777777778
Cheirogaleus_medius	61.3333333333333
Daubentonia_madagascariensis	59.983333333333299
Eulemur_albifrons	54.4791666666667
Eulemur_collaris	47.167630385487499
Eulemur_coronatus	42.273809523809497
Eulemur_flavifrons	50.4166666666667
Eulemur_fulvus	59.25
Eulemur_macaco	40.462499999999999
Eulemur_mongoz	45.249000000000002
Eulemur_rubriventer	46.920000000000002
Eulemur_rufifrons	60.576923076923102
Eulemur_sanfordi	49.774999999999999
Galago_moholi	54
Gorilla_gorilla	30.539337474120099
Hapalemur_griseus	47.7222222222222
Lemur_catta	43.125347222222203
Leontopithecus_chrysomelas	28.6666666666667
Leontopithecus_rosalia	20.324999999999999
Loris_tardigradus	32.3333333333333
Macaca_arctoides	53.399999999999999
Macaca_fascicularis	45.846323529411798
Macaca_mulatta	42.689587209438699
Macaca_nemestrina	39.280535309361802
Macaca_nigra	25
Microcebus_murinus	46
Mirza_zaza	51.950000000000003
Nomascus_leucogenys	33
Nycticebus_pygmaeus	62.1666666666667
Pan_paniscus	34.088636363636397
Pan_troglodytes	40.004089256554202
Pongo_pygmaeus	45.225176366843002
Propithecus_coquereli	41.218487394957997
Propithecus_tattersalli	13
Saguinus_oedipus	31.802317554240599
Saimiri_sciureus	52.849690587190601
Varecia_rubra	41.873148148148097
Varecia_variegata	45.677777777777798
