species	trait_value
Cheirogaleus_medius	13.2125
Daubentonia_madagascariensis	106.5517857
Eulemur_collaris	62.485714289999997
Eulemur_coronatus	55.81428571
Eulemur_flavifrons	78.510869569999997
Eulemur_fulvus	73
Eulemur_macaco	65.666666669999998
Eulemur_mongoz	60.208823529999997
Eulemur_rubriventer	78.400000000000006
Eulemur_rufus	73.130769229999999
Eulemur_sanfordi	93.599999999999994
Galago_moholi	12.689473680000001
Hapalemur_griseus	46.254545450000002
Lemur_catta	63.665322580000002
Loris_tardigradus	11.53333333
Microcebus_murinus	6.9625000000000004
Mirza_coquereli	15.883333329999999
Nycticebus_coucang	51.174999999999997
Nycticebus_pygmaeus	24.283333330000001
Otolemur_garnettii	48.589473679999998
Perodicticus_potto	32.450000000000003
Propithecus_coquereli	105.6354762
Varecia_rubra	110.8970588
Varecia_variegata	106.6269231
