species	trait_value
Cheirogaleus_medius	144.06666670000001
Daubentonia_madagascariensis	2265
Eulemur_albifrons	1840.4294870000001
Eulemur_collaris	1697.2222220000001
Eulemur_coronatus	1220.190476
Eulemur_flavifrons	2122
Eulemur_fulvus	1670
Eulemur_macaco	2084.880952
Eulemur_mongoz	1301.034091
Eulemur_rubriventer	1770
Eulemur_rufus	1620
Eulemur_sanfordi	1840
Galago_moholi	140.828125
Hapalemur_griseus	794.08354220000001
Lemur_catta	1888.7638890000001
Loris_tardigradus	152
Microcebus_murinus	56.5
Mirza_coquereli	250.6794118
Nycticebus_coucang	807.66666669999995
Nycticebus_pygmaeus	357.20224359999997
Otolemur_garnettii	729
Perodicticus_potto	761.90427350000004
Propithecus_coquereli	3003.166667
Varecia_rubra	2710.5
Varecia_variegata	2903.25
