species	trait_value
Callithrix_jacchus	2.6120481927710801
Cebuella_pygmaea	3.8333333333333299
Cheirogaleus_medius	1.5
Daubentonia_madagascariensis	3.7583333333333302
Eulemur_albifrons	2.8125
Eulemur_collaris	2.6973922902494301
Eulemur_coronatus	2.2083333333333299
Eulemur_flavifrons	2.3695652173913002
Eulemur_fulvus	3.8333333333333299
Eulemur_macaco	3.03125
Eulemur_mongoz	3.1560000000000001
Eulemur_rubriventer	1.9016666666666699
Eulemur_rufifrons	1.6666666666666701
Eulemur_sanfordi	2.7749999999999999
Galago_moholi	3.3333333333333299
Gorilla_gorilla	4.6262939958592098
Hapalemur_griseus	3.4953703703703698
Lemur_catta	3.4322916666666701
Leontopithecus_chrysomelas	3.1388888888888902
Leontopithecus_rosalia	4.3785714285714299
Loris_tardigradus	1.6666666666666701
Macaca_arctoides	2.7749999999999999
Macaca_fascicularis	3.2838235294117601
Macaca_mulatta	3.63565789613213
Macaca_nemestrina	4.25
Macaca_nigra	4.1666666666666696
Microcebus_murinus	4
Mirza_zaza	3.31481481481481
Nomascus_leucogenys	3
Nycticebus_pygmaeus	2.9166666666666701
Pan_paniscus	2.5696969696969698
Pan_troglodytes	2.7536134961293302
Pongo_pygmaeus	3.0134479717813001
Propithecus_coquereli	4.4705882352941204
Propithecus_tattersalli	4.3333333333333304
Saguinus_oedipus	5.5098710317460302
Saimiri_sciureus	2.2225725663225702
Varecia_rubra	3.6962962962963002
Varecia_variegata	2.7722222222222199
