species	trait_value
Alouatta_palliata	17150
Aotus_trivirgatus	5230
Ateles_geoffroyi	30930
Carlito_syrichta	1470
Cercocebus_atys	43744
Cercopithecus_nictitans	35990
Cheirogaleus_medius	890
Daubentonia_madagascariensis	19790
Eulemur_mongoz	8200
Galago_senegalensis	1340
Gorilla_beringei	159055.42000000001
Gorilla_gorilla	163423.45999999999
Hylobates_lar	40944
Lemur_catta	8960
Macaca_mulatta	35308
Mandrillus_sphinx	71330
Microcebus_murinus	590
Nycticebus_coucang	4400
Otolemur_crassicaudatus	3100
Pan_paniscus	142900
Pan_troglodytes	157180
Papio_cynocephalus	65000
Papio_hamadryas	79100
Perodicticus_potto	3910
Plecturocebus_moloch	5120
Pongo_pygmaeus	166466.67000000001
Propithecus_verreauxi	9840
Saimiri_sciureus	11448
Sapajus_apella	31900
Semnopithecus_entellus	51850
