species	trait_value
Callithrix_jacchus	43.882530120481903
Cebuella_pygmaea	38.5555555555556
Cheirogaleus_medius	37
Daubentonia_madagascariensis	34.977777777777803
Eulemur_albifrons	39.125
Eulemur_collaris	47.218650793650802
Eulemur_coronatus	54
Eulemur_flavifrons	43.678787878787901
Eulemur_fulvus	34.5
Eulemur_macaco	54.529166666666697
Eulemur_mongoz	50.247222222222199
Eulemur_rubriventer	48.8883333333333
Eulemur_rufifrons	42.185897435897402
Eulemur_sanfordi	44.266666666666701
Galago_moholi	41.5
Gorilla_gorilla	62.923706004140797
Hapalemur_griseus	49.050925925925903
Lemur_catta	51.752083333333303
Leontopithecus_chrysomelas	65.2361111111111
Leontopithecus_rosalia	67.146428571428601
Loris_tardigradus	65.3333333333333
Macaca_arctoides	40.633333333333297
Macaca_fascicularis	48.6727272727273
Macaca_mulatta	49.783420695558497
Macaca_nemestrina	55.502313465068603
Macaca_nigra	68.5
Microcebus_murinus	37
Mirza_zaza	42.850000000000001
Nomascus_leucogenys	63
Nycticebus_pygmaeus	34.4166666666667
Pan_paniscus	58.518290043290001
Pan_troglodytes	53.966643560877301
Pongo_pygmaeus	49.988668430335103
Propithecus_coquereli	53.262955182072801
Propithecus_tattersalli	66
Saguinus_oedipus	61.343786982248503
Saimiri_sciureus	42.8879042431927
Varecia_rubra	54.968518518518501
Varecia_variegata	50.188888888888897
