species	trait_value
Ateles_geoffroyi	204
Avahi_occidentalis	38.299999999999997
Carlito_syrichta	15.5
Cebuella_pygmaea	23.800000000000001
Cebus_albifrons	207
Cercopithecus_ascanius	320
Cheirogaleus_major	18
Eulemur_fulvus	108
Galagoides_demidovii	11.5
Gorilla_gorilla	671
Hylobates_lar	302
Lagothrix_lagotricha	203
Lepilemur_ruficaudatus	20.699999999999999
Lophocebus_albigena	308
Loris_tardigradus	15.699999999999999
Microcebus_murinus	6.1699999999999999
Nasalis_larvatus	304
Otolemur_crassicaudatus	33.899999999999999
Pan_troglodytes	630
Papio_anubis	601
Perodicticus_potto	19.5
Piliocolobus_badius	201
Propithecus_verreauxi	125
Saguinus_oedipus	50.5
Saimiri_sciureus	117
