species	trait_value
Ateles_geoffroyi	807
Avahi_occidentalis	74.5
Carlito_syrichta	16.100000000000001
Cebuella_pygmaea	25.800000000000001
Cebus_albifrons	567
Cercopithecus_ascanius	405
Cheirogaleus_major	31.600000000000001
Eulemur_fulvus	212
Galagoides_demidovii	17
Gorilla_gorilla	2604
Hylobates_lar	715
Lagothrix_lagotricha	845
Lepilemur_ruficaudatus	55.200000000000003
Lophocebus_albigena	674
Loris_tardigradus	41.399999999999999
Microcebus_murinus	10.699999999999999
Nasalis_larvatus	550
Otolemur_crassicaudatus	63.299999999999997
Pan_troglodytes	1951
Papio_anubis	1147
Perodicticus_potto	107
Piliocolobus_badius	521
Propithecus_verreauxi	263
Saguinus_oedipus	73.200000000000003
Saimiri_sciureus	169
