species	trait_value
Aotus_trivirgatus	5.2058823529411802
Callithrix_jacchus	5.1823863636363603
Cebuella_pygmaea	5.2166666666666703
Cheirogaleus_medius	5.9400000000000004
Daubentonia_madagascariensis	4.9864583333333297
Eulemur_albifrons	6.2111111111111104
Eulemur_collaris	5.8359863945578203
Eulemur_coronatus	5.8761904761904802
Eulemur_flavifrons	6.2781060606060599
Eulemur_fulvus	6.2750000000000004
Eulemur_macaco	5.3236458333333303
Eulemur_mongoz	5.0030666666666699
Eulemur_rubriventer	6.0410000000000004
Eulemur_rufifrons	5.1329487179487199
Eulemur_sanfordi	6.60666666666667
Galago_moholi	6.2125000000000004
Gorilla_gorilla	4.1487814153439198
Hapalemur_griseus	5.1314912280701801
Lemur_catta	4.8174275362318797
Leontopithecus_chrysomelas	5.0125000000000002
Leontopithecus_rosalia	8.6492857142857105
Loris_tardigradus	4.3250000000000002
Macaca_arctoides	4.2842803030303003
Macaca_fascicularis	3.6444999999999999
Macaca_mulatta	4.4432512229094696
Macaca_nemestrina	6.0999999999999996
Macaca_nigra	3.25
Microcebus_murinus	5.5499999999999998
Mirza_zaza	5.81111111111111
Nomascus_leucogenys	2.6000000000000001
Nycticebus_pygmaeus	4.5999999999999996
Pan_paniscus	3.8570436507936501
Pan_troglodytes	3.4012815216579302
Pongo_pygmaeus	4.0999647266313897
Propithecus_coquereli	4.8658613445378096
Propithecus_tattersalli	4.0333333333333297
Saimiri_sciureus	4.2274884677288496
Varecia_rubra	5.4653921568627499
Varecia_variegata	5.6600000000000001
