species	trait_value
Aotus_trivirgatus	4.4088235294117704
Callithrix_jacchus	4.3101123595505602
Cheirogaleus_medius	5.4800000000000004
Daubentonia_madagascariensis	5.3656249999999996
Eulemur_albifrons	6.0266666666666699
Eulemur_collaris	5.25342970521542
Eulemur_coronatus	5.1134615384615403
Eulemur_flavifrons	5.3695454545454497
Eulemur_fulvus	5.1500000000000004
Eulemur_macaco	5.3396428571428602
Eulemur_mongoz	4.7876000000000003
Eulemur_rubriventer	5.3078333333333303
Eulemur_rufifrons	5.6287179487179504
Eulemur_sanfordi	5.8033333333333301
Galago_moholi	4.5333333333333297
Gorilla_gorilla	4.2329315476190503
Hapalemur_griseus	4.2280701754386003
Lemur_catta	4.4165398550724602
Leontopithecus_chrysomelas	3.0499999999999998
Leontopithecus_rosalia	3.3833333333333302
Loris_tardigradus	4.7999999999999998
Macaca_arctoides	3.5465909090909098
Macaca_fascicularis	4.3440000000000003
Macaca_mulatta	4.0563047117830902
Macaca_nemestrina	3.6593404431216898
Macaca_nigra	3.5166666666666702
Mirza_zaza	6.0708333333333302
Nomascus_leucogenys	4.3499999999999996
Nycticebus_pygmaeus	4.7000000000000002
Pan_troglodytes	3.7066908317948899
Pongo_pygmaeus	4.0693077601410899
Propithecus_coquereli	4.2685034013605403
Propithecus_tattersalli	5.7999999999999998
Saimiri_sciureus	3.67065217391304
Varecia_rubra	4.7532407407407398
Varecia_variegata	5.19703703703704
