species	trait_value
Cheirogaleus_medius	16.10410959
Daubentonia_madagascariensis	30.035616439999998
Eulemur_albifrons	16.312328770000001
Eulemur_collaris	21.20821918
Eulemur_coronatus	19.90958904
Eulemur_flavifrons	21.12328767
Eulemur_fulvus	19.18082192
Eulemur_macaco	14.7260274
Eulemur_mongoz	19.671232880000002
Eulemur_rubriventer	14.29863014
Eulemur_rufus	24.287671230000001
Eulemur_sanfordi	8.4273972599999993
Galago_moholi	6.6301369860000001
Hapalemur_griseus	15.975342469999999
Lemur_catta	29.51232877
Loris_tardigradus	11.63561644
Microcebus_murinus	9.4602739729999996
Mirza_coquereli	13.70136986
Nycticebus_coucang	14.85753425
Nycticebus_pygmaeus	11.55616438
Otolemur_garnettii	10.83835616
Perodicticus_potto	13.63013699
Propithecus_coquereli	29.756164380000001
Varecia_rubra	33.356164380000003
Varecia_variegata	31.82465753
