species	trait_value
Cheirogaleus_medius	1.266666667
Daubentonia_madagascariensis	0.70588235300000002
Eulemur_albifrons	1
Eulemur_collaris	1.269230769
Eulemur_coronatus	1.6666666670000001
Eulemur_flavifrons	0.91666666699999999
Eulemur_fulvus	1.388888889
Eulemur_macaco	1.19047619
Eulemur_mongoz	1.075
Eulemur_rubriventer	1.4444444439999999
Eulemur_rufus	0.85333333300000003
Eulemur_sanfordi	1.125
Galago_moholi	1.3
Hapalemur_griseus	0.76923076899999998
Lemur_catta	0.894039735
Loris_tardigradus	0.909090909
Microcebus_murinus	1.184466019
Mirza_coquereli	0.81818181800000001
Nycticebus_coucang	0.82608695700000001
Nycticebus_pygmaeus	1.307692308
Otolemur_garnettii	1.3448275860000001
Perodicticus_potto	4
Propithecus_coquereli	1.0862068970000001
Varecia_rubra	0.97101449299999998
Varecia_variegata	1.2537313430000001
