species	trait_value
Alouatta_belzebul	57.299999999999997
Alouatta_caraya	61.600000000000001
Alouatta_guariba	64.370000000000005
Alouatta_palliata	66.140000000000001
Alouatta_pigra	61.899999999999999
Alouatta_seniculus	78.5
Ateles_belzebuth	54.729999999999997
Ateles_geoffroyi	24.100000000000001
Brachyteles_arachnoides	61
Callimico_goeldii	66
Callithrix_jacchus	30
Cebus_capucinus	38.729999999999997
Cercocebus_agilis	13
Cercocebus_galeritus	10.199999999999999
Cercopithecus_ascanius	10
Cercopithecus_campbelli	18
Cercopithecus_diana	24.399999999999999
Cercopithecus_mitis	27.600000000000001
Cercopithecus_petaurista	23.800000000000001
Chlorocebus_aethiops	25.629999999999999
Colobus_angolensis	22
Colobus_guereza	10.25
Colobus_polykomos	9
Colobus_satanas	4
Colobus_vellerosus	15
Eulemur_albifrons	56
Eulemur_collaris	55.700000000000003
Eulemur_coronatus	44
Eulemur_fulvus	58.899999999999999
Eulemur_macaco	62.799999999999997
Eulemur_mongoz	69.099999999999994
Eulemur_rubriventer	60
Eulemur_rufus	61.799999999999997
Eulemur_sanfordi	59.200000000000003
Galago_moholi	4.5
Gorilla_gorilla	35.5
Hylobates_lar	33.100000000000001
Indri_indri	50
Lagothrix_lagotricha	29.899999999999999
Leontocebus_fuscicolis	35.859999999999999
Leontopithecus_chrysopygus	14.4
Lophocebus_albigena	12
Loris_lydekkerianus	36.399999999999999
Macaca_fascicularis	42.899999999999999
Macaca_fuscata	20.100000000000001
Macaca_mulatta	25
Macaca_nigra	19.5
Macaca_sinica	34
Macaca_sylvanus	30.73
Nycticebus_coucang	5.4000000000000004
Otolemur_garnettii	9.4000000000000004
Pan_paniscus	37.399999999999999
Pan_troglodytes	30.23
Papio_anubis	26.199999999999999
Papio_cynocephalus	20.199999999999999
Papio_hamadryas	26
Papio_ursinus	22
Piliocolobus_badius	13
Piliocolobus_kirkii	9
Piliocolobus_rufomitratus	17.670000000000002
Piliocolobus_tephrosceles	8.5
Pongo_pygmaeus	41
Prolemur_simus	33.600000000000001
Propithecus_diadema	47
Saguinus_mystax	27.199999999999999
Semnopithecus_entellus	41.799999999999997
Symphalangus_syndactylus	35.299999999999997
Theropithecus_gelada	15.1
Trachypithecus_auratus	50.5
Varecia_variegata	53.030000000000001
