species	trait_value
Alouatta_palliata	231.90000000000001
Aotus_trivirgatus	52.399999999999999
Arctocebus_calabarensis	15.199999999999999
Callithrix_geoffroyi	27
Callithrix_jacchus	22.800000000000001
Carlito_syrichta	8.9000000000000004
Cebuella_pygmaea	10.1
Cercocebus_torquatus	196.19999999999999
Cercopithecus_mitis	407.69999999999999
Cheirogaleus_medius	22.699999999999999
Colobus_guereza	357.89999999999998
Erythrocebus_patas	186.90000000000001
Eulemur_fulvus	42
Euoticus_elegantulus	25.100000000000001
Galago_moholi	13.9
Galago_senegalensis	18.100000000000001
Galagoides_demidovii	6.2999999999999998
Hylobates_lar	123.40000000000001
Lemur_catta	45.100000000000001
Leontopithecus_rosalia	51.100000000000001
Lepilemur_ruficaudatus	27.600000000000001
Loris_tardigradus	14.800000000000001
Macaca_fascicularis	400.89999999999998
Macaca_fuscata	485.39999999999998
Macaca_mulatta	231.90000000000001
Microcebus_murinus	4.9000000000000004
Nycticebus_coucang	32.399999999999999
Otolemur_crassicaudatus	47.600000000000001
Otolemur_garnettii	47.799999999999997
Pan_troglodytes	581.89999999999998
Papio_anubis	342.89999999999998
Papio_cynocephalus	668.89999999999998
Papio_papio	297.30000000000001
Papio_ursinus	589.29999999999995
Perodicticus_potto	41.299999999999997
Pongo_pygmaeus	569.10000000000002
Propithecus_verreauxi	86.799999999999997
Saguinus_geoffroyi	50.5
Saimiri_sciureus	68.799999999999997
Varecia_variegata	69.900000000000006
