species	trait_value
Alouatta_seniculus	200
Aotus_trivirgatus	83.299999999999997
Ateles_geoffroyi	324
Avahi_laniger	69.700000000000003
Avahi_occidentalis	69.299999999999997
Callimico_goeldii	63.5
Callithrix_jacchus	49.799999999999997
Carlito_syrichta	23.300000000000001
Cebuella_pygmaea	29.199999999999999
Cebus_albifrons	174
Cercopithecus_ascanius	251
Cercopithecus_mitis	246
Cheirogaleus_major	58.899999999999999
Cheirogaleus_medius	32.5
Daubentonia_madagascariensis	254
Erythrocebus_patas	330
Eulemur_fulvus	119
Galago_senegalensis	35.700000000000003
Galagoides_demidovii	25.699999999999999
Gorilla_gorilla	1193
Hylobates_lar	302
Indri_indri	205
Lagothrix_lagotricha	266
Lepilemur_ruficaudatus	56.700000000000003
Lophocebus_albigena	294
Loris_tardigradus	41.100000000000001
Macaca_mulatta	271
Microcebus_murinus	15.300000000000001
Miopithecus_talapoin	133
Nasalis_larvatus	333
Nycticebus_coucang	92
Otolemur_crassicaudatus	70
Pan_troglodytes	851
Papio_anubis	559
Perodicticus_potto	114
Piliocolobus_badius	288
Pithecia_monachus	140
Pongo_pygmaeus	600
Propithecus_verreauxi	159
Pygathrix_nemaeus	290
Saguinus_midas	40.899999999999999
Saguinus_oedipus	60.5
Saimiri_sciureus	90.599999999999994
Varecia_variegata	206
