species	trait_value
Allenopithecus_nigroviridis	1.9279999999999999
Allochrocebus_lhoesti	1.73
Alouatta_caraya	1.4830000000000001
Alouatta_guariba	1.5469999999999999
Alouatta_palliata	1.24
Alouatta_pigra	1.7729999999999999
Alouatta_seniculus	1.284
Aotus_trivirgatus	1.105
Ateles_geoffroyi	1.0669999999999999
Ateles_paniscus	1.079
Avahi_laniger	0.78000000000000003
Brachyteles_arachnoides	1.1910000000000001
Cacajao_calvus	1.198
Callithrix_jacchus	0.94699999999999995
Callithrix_penicillata	1.097
Cebuella_pygmaea	0.90200000000000002
Cebus_capucinus	1.4490000000000001
Cebus_olivaceus	1.306
Cercocebus_torquatus	1.722
Cercopithecus_ascanius	1.2669999999999999
Cercopithecus_cephus	1.49
Cercopithecus_diana	1.333
Cercopithecus_erythrogaster	1.708
Cercopithecus_mitis	1.8660000000000001
Cercopithecus_mona	1.2889999999999999
Cercopithecus_neglectus	1.78
Cercopithecus_nictitans	1.5660000000000001
Cercopithecus_petaurista	1.5169999999999999
Cercopithecus_pogonias	1.4690000000000001
Cercopithecus_wolfi	1.3620000000000001
Cheirogaleus_medius	1
Cheracebus_torquatus	1.0580000000000001
Chiropotes_satanas	1.1240000000000001
Chlorocebus_aethiops	1.4299999999999999
Chlorocebus_pygerythrus	1.571
Colobus_angolensis	1.2789999999999999
Colobus_guereza	1.4670000000000001
Colobus_polykomos	1.1930000000000001
Colobus_satanas	1.4019999999999999
Erythrocebus_patas	1.9079999999999999
Eulemur_coronatus	1.0429999999999999
Eulemur_fulvus	1
Eulemur_macaco	0.96399999999999997
Eulemur_mongoz	1.012
Eulemur_rubriventer	1.0209999999999999
Gorilla_beringei	1.6699999999999999
Gorilla_gorilla	2.383
Hapalemur_griseus	1.119
Hylobates_klossii	0.95799999999999996
Hylobates_lar	1.105
Hylobates_muelleri	1.0669999999999999
Hylobates_pileatus	1.0109999999999999
Lagothrix_lagotricha	1.0369999999999999
Lemur_catta	1
Leontocebus_fuscicolis	0.95799999999999996
Lophocebus_albigena	1.3700000000000001
Macaca_fascicularis	1.4930000000000001
Macaca_fuscata	1.3700000000000001
Macaca_mulatta	1.25
Macaca_nemestrina	1.7230000000000001
Macaca_nigra	1.8080000000000001
Macaca_silenus	1.4590000000000001
Macaca_sinica	1.7749999999999999
Macaca_sylvanus	1.4550000000000001
Macaca_tonkeana	1.6559999999999999
Mandrillus_leucophaeus	1.3999999999999999
Mandrillus_sphinx	2.4500000000000002
Miopithecus_talapoin	1.232
Nasalis_larvatus	2.077
Nomascus_concolor	1.022
Pan_paniscus	1.355
Pan_troglodytes	1.3029999999999999
Papio_anubis	1.887
Papio_cynocephalus	1.772
Papio_hamadryas	1.8420000000000001
Papio_ursinus	2.0139999999999998
Piliocolobus_badius	1.018
Pithecia_pithecia	1.228
Plecturocebus_moloch	1.0629999999999999
Pongo_abelii	2.1880000000000002
Pongo_pygmaeus	2.1930000000000001
Presbytis_comata	0.996
Presbytis_melalophos	1.0189999999999999
Procolobus_verus	1.119
Propithecus_verreauxi	1.1020000000000001
Pygathrix_nemaeus	1.3029999999999999
Rhinopithecus_avunculus	1.6499999999999999
Rhinopithecus_roxellana	1.5429999999999999
Saguinus_midas	0.89700000000000002
Saguinus_oedipus	1.0349999999999999
Saimiri_boliviensis	1.2809999999999999
Saimiri_oerstedii	1.319
Saimiri_sciureus	1.177
Sapajus_apella	1.448
Semnopithecus_entellus	1.3140000000000001
Semnopithecus_vetulus	1.385
Symphalangus_syndactylus	1.1120000000000001
Theropithecus_gelada	1.6240000000000001
Trachypithecus_cristatus	1.1479999999999999
Trachypithecus_francoisi	1.048
Trachypithecus_obscurus	1.262
Trachypithecus_pileatus	1.2170000000000001
