species	trait_value
Ateles_geoffroyi	52.799999999999997
Avahi_occidentalis	5.9400000000000004
Carlito_syrichta	1.0900000000000001
Cebuella_pygmaea	1.95
Cebus_albifrons	41.700000000000003
Cercopithecus_ascanius	25.699999999999999
Cheirogaleus_major	2.27
Eulemur_fulvus	13.9
Galagoides_demidovii	1.3999999999999999
Gorilla_gorilla	178
Hylobates_lar	61.600000000000001
Lagothrix_lagotricha	63.799999999999997
Lepilemur_ruficaudatus	2.9100000000000001
Lophocebus_albigena	52.399999999999999
Loris_tardigradus	3.79
Microcebus_murinus	0.65000000000000002
Nasalis_larvatus	37.200000000000003
Otolemur_crassicaudatus	4.0999999999999996
Pan_troglodytes	127
Papio_anubis	94.700000000000003
Perodicticus_potto	8.1899999999999995
Piliocolobus_badius	31.899999999999999
Propithecus_verreauxi	20
Saguinus_oedipus	4.4500000000000002
Saimiri_sciureus	11.5
