species	trait_value
Ateles_geoffroyi	860
Avahi_occidentalis	80.5
Carlito_syrichta	17.100000000000001
Cebuella_pygmaea	27.699999999999999
Cebus_albifrons	609
Cercopithecus_ascanius	431
Cheirogaleus_major	33.799999999999997
Eulemur_fulvus	225
Galagoides_demidovii	18.300000000000001
Gorilla_gorilla	2782
Hylobates_lar	777
Lagothrix_lagotricha	909
Lepilemur_ruficaudatus	58.100000000000001
Lophocebus_albigena	726
Loris_tardigradus	45.200000000000003
Microcebus_murinus	11.4
Nasalis_larvatus	587
Otolemur_crassicaudatus	67.400000000000006
Pan_troglodytes	2078
Papio_anubis	1241
Perodicticus_potto	116
Piliocolobus_badius	553
Propithecus_verreauxi	283
Saguinus_oedipus	77.599999999999994
Saimiri_sciureus	180
