species	trait_value
Callithrix_jacchus	110.87288135593199
Daubentonia_madagascariensis	138.13988095238099
Eulemur_albifrons	45.4722222222222
Eulemur_collaris	50.168650793650798
Eulemur_coronatus	70.321428571428598
Eulemur_flavifrons	78.148484848484799
Eulemur_fulvus	95.25
Eulemur_macaco	53.317777777777799
Eulemur_mongoz	30.301587301587301
Eulemur_rubriventer	82.008333333333297
Eulemur_rufifrons	54.1736111111111
Eulemur_sanfordi	41.899999999999999
Gorilla_gorilla	146.39726001511701
Hapalemur_griseus	64.307017543859601
Lemur_catta	43.915650406504099
Macaca_arctoides	69.6875
Macaca_fascicularis	89.369047619047606
Macaca_mulatta	98.051187037953895
Mirza_zaza	48.5555555555556
Nycticebus_pygmaeus	76
Pan_paniscus	85.093849206349205
Pan_troglodytes	85.333672590959196
Pongo_pygmaeus	74.302609890109906
Propithecus_coquereli	66.792204301075301
Propithecus_tattersalli	167.333333333333
Saimiri_sciureus	53.136363636363598
Varecia_rubra	29.990196078431399
Varecia_variegata	33.566666666666698
