species	trait_value
Alouatta_palliata	1860
Alouatta_seniculus	1918
Aotus_trivirgatus	874
Ateles_geoffroyi	3441.5
Avahi_laniger	475
Avahi_occidentalis	450
Callithrix_jacchus	566
Carlito_syrichta	326
Cebuella_pygmaea	363
Cebus_albifrons	3764
Cercocebus_atys	5120
Cercopithecus_ascanius	4272
Cercopithecus_mitis	4232
Cercopithecus_nictitans	4140
Cheirogaleus_major	433
Cheirogaleus_medius	199
Daubentonia_madagascariensis	1113
Eulemur_fulvus	1253
Eulemur_mongoz	1060
Galago_senegalensis	220
Galagoides_demidovii	214
Gorilla_gorilla	9100
Hylobates_lar	4293.5
Indri_indri	1648
Lagothrix_lagotricha	4856
Lemur_catta	1310
Lepilemur_ruficaudatus	326
Lophocebus_albigena	5420
Loris_tardigradus	529
Macaca_fascicularis	2800
Macaca_mulatta	4301.5
Microcebus_murinus	131.66999999999999
Miopithecus_talapoin	2339
Nycticebus_coucang	638
Otolemur_crassicaudatus	464.5
Pan_paniscus	11600
Pan_troglodytes	8847
Papio_anubis	10001
Papio_hamadryas	7700
Perodicticus_potto	440
Piliocolobus_badius	3053
Pithecia_monachus	1679
Plecturocebus_moloch	1020.5
Pongo_pygmaeus	8320
Propithecus_verreauxi	1260.6700000000001
Saguinus_midas	841
Saguinus_oedipus	807
Saimiri_sciureus	1657
Semnopithecus_entellus	4320
Symphalangus_syndactylus	5400
Varecia_variegata	1745
