species	trait_value
Alouatta_seniculus	3.2400000000000002
Aotus_trivirgatus	1.74
Ateles_geoffroyi	3.5600000000000001
Avahi_laniger	1.48
Avahi_occidentalis	1.24
Callimico_goeldii	1.0800000000000001
Callithrix_jacchus	0.88
Carlito_syrichta	0.56000000000000005
Cebuella_pygmaea	0.56000000000000005
Cebus_albifrons	3.96
Cercopithecus_ascanius	3.98
Cercopithecus_mitis	4.1399999999999997
Cheirogaleus_major	1.8400000000000001
Cheirogaleus_medius	1.1399999999999999
Daubentonia_madagascariensis	4.3799999999999999
Erythrocebus_patas	4.7999999999999998
Eulemur_fulvus	3.04
Galago_senegalensis	0.69999999999999996
Galagoides_demidovii	0.56000000000000005
Gorilla_gorilla	20.399999999999999
Hylobates_lar	4.8799999999999999
Indri_indri	3.6800000000000002
Lagothrix_lagotricha	4.2599999999999998
Lepilemur_ruficaudatus	2.2999999999999998
Lophocebus_albigena	6.1200000000000001
Loris_tardigradus	0.93999999999999995
Macaca_mulatta	7.7000000000000002
Microcebus_murinus	0.5
Miopithecus_talapoin	2.4399999999999999
Nasalis_larvatus	4.3600000000000003
Nycticebus_coucang	1.52
Otolemur_crassicaudatus	1.6200000000000001
Pan_paniscus	8.1799999999999997
Pan_troglodytes	15.68
Papio_anubis	9.2400000000000002
Perodicticus_potto	2.5600000000000001
Piliocolobus_badius	3.02
Pithecia_monachus	2.7200000000000002
Plecturocebus_moloch	1.96
Pongo_pygmaeus	24.219999999999999
Propithecus_verreauxi	3.2400000000000002
Pygathrix_nemaeus	3.1400000000000001
Saguinus_midas	1.1200000000000001
Saguinus_oedipus	1.24
Saimiri_sciureus	1.6399999999999999
Varecia_variegata	6.2599999999999998
