trait	model	sigma2	alpha	aic	selected	n_species	generating_model
Actual.evapotranspiraton..mm.	BM	9453.79478378844	NA	1130.43593863097	FALSE	78	OU
Actual.evapotranspiraton..mm.	OU	40532.2710543656	0.341396752270797	1082.3455205092	TRUE	78	OU
AdiposeDepots_g	BM	25521.8837639762	NA	311.073749687393	FALSE	19	OU
AdiposeDepots_g	OU	70722.4057455699	0.0907311067637379	303.753369718147	TRUE	19	OU
AET_Mean_mm	BM	10186.450856649	NA	1778.52772282972	FALSE	124	OU
AET_Mean_mm	OU	26651.6407347787	0.201112787628316	1720.58691361743	TRUE	124	OU
Albumin	BM	0.0136306487911684	NA	52.1647229955263	TRUE	37	BM
Albumin	OU	0.0183854477651044	0.0205912330894785	50.6444867612335	FALSE	37	BM
Albumin.Globulin.Ratio	BM	0.016937032697085	NA	57.1007889321589	TRUE	31	BM
Albumin.Globulin.Ratio	OU	0.0214815038825765	0.012607237586934	57.6611821837672	FALSE	31	BM
Albumin.protein.Ratio	BM	0.000229533722918794	NA	-78.7157390903896	TRUE	31	BM
Albumin.protein.Ratio	OU	0.000305499532892256	0.0176538246955703	-79.460157128076	FALSE	31	BM
Alkaline.Phosphatase	BM	1416.26872854024	NA	466.530497779485	FALSE	36	OU
Alkaline.Phosphatase	OU	2775.28952883304	0.0533682422059105	461.399434959313	TRUE	36	OU
Amygdala	BM	2875.288016736	NA	327.484584057911	TRUE	23	BM
Amygdala	OU	3274.57473420581	0.00456394861227069	329.359116925985	FALSE	23	BM
Amylase	BM	42851.845517925	NA	382.135326879306	FALSE	23	OU
Amylase	OU	69857.511321715	0.0322606654328187	379.836956445869	TRUE	23	OU
AOB	BM	0.0516540353838117	NA	87.8907534226845	TRUE	26	BM
AOB	OU	0.051654035323109	2.66539326393814e-108	89.8907534226845	FALSE	26	BM
BasalMetabolicRate_ml_O2.h	BM	139280.964435981	NA	707.73639531113	FALSE	40	OU
BasalMetabolicRate_ml_O2.h	OU	212560.34255366	0.0259834800222292	705.00036470869	TRUE	40	OU
Bilirubin.Total	BM	0.00224231795500265	NA	-14.6132720779463	FALSE	37	OU
Bilirubin.Total	OU	0.0117977407331625	0.33695646564363	-39.466685056486	TRUE	37	OU
Blood.Urea.Nitrogen	BM	3.02773131131292	NA	252.084900594062	FALSE	37	OU
Blood.Urea.Nitrogen	OU	120.64614635997	2.71828182845905	225.690528600979	TRUE	37	OU
Body_mass	BM	0.0304688767001666	NA	205.315938498416	TRUE	136	BM
Body_mass	OU	0.0304688765972287	1.05631321020286e-16	207.315938498415	FALSE	136	BM
Body.mass..g.	BM	6453154.48091775	NA	1984.19064474159	TRUE	95	BM
Body.mass..g.	OU	7909987.93291423	0.0186361720790284	1982.20244820304	FALSE	95	BM
Body.MassMaleMean	BM	10411557.0538628	NA	2964.47473480889	TRUE	140	BM
Body.MassMaleMean	OU	10411557.4306222	6.78596162706211e-156	2966.47473480889	FALSE	140	BM
Body.Weight	BM	7.10388901569198	NA	282.053379528242	TRUE	37	BM
Body.Weight	OU	8.38730670316326	0.00940244222157151	283.371450978934	FALSE	37	BM
BodyMassFemaleMean	BM	4561433.86747717	NA	2848.93560224845	TRUE	140	BM
BodyMassFemaleMean	OU	5092533.15376439	0.0106693829609732	2849.24116689788	FALSE	140	BM
BodyMassForOrganMass_g	BM	2001439.61166939	NA	393.953378722428	FALSE	19	OU
BodyMassForOrganMass_g	OU	3923969.60806516	0.0469321998447399	390.383655682172	TRUE	19	OU
Brain_mass	BM	0.0127230304203232	NA	86.5482317424734	TRUE	136	BM
Brain_mass	OU	0.0127230305421337	8.33256584146925e-18	88.548231742473	FALSE	136	BM
BrainMass_g	BM	46.1102679101738	NA	191.064888816751	TRUE	19	BM
BrainMass_g	OU	46.1102716934045	9.77524759046723e-17	193.064888816751	FALSE	19	BM
BrainSizeFemaleMean	BM	75.140091361804	NA	1159.62185503565	TRUE	123	BM
BrainSizeFemaleMean	OU	75.1400910217978	1.58210380310622e-17	1161.62185503565	FALSE	123	BM
BrainSizeSpeciesMean	BM	82.2941250113178	NA	1194.44567729853	TRUE	126	BM
BrainSizeSpeciesMean	OU	82.2941258111275	7.6773706745537e-218	1196.44567729853	FALSE	126	BM
Bun.Creat.Ratio	BM	6.57510044174085	NA	268.08737664166	TRUE	35	BM
Bun.Creat.Ratio	OU	8.80678152898066	0.016765687038328	268.488778899122	FALSE	35	BM
BV	BM	111539405.39087	NA	1477.63677132734	TRUE	61	BM
BV	OU	111539397.75741	3.47335813834091e-147	1479.63677132734	FALSE	61	BM
Calcium	BM	0.0318045796231814	NA	83.5144331691828	FALSE	37	OU
Calcium	OU	0.0595010112026745	0.054410097178589	76.085890885632	TRUE	37	OU
CanineDimorphism	BM	0.0212984618621041	NA	139.35245536799	FALSE	92	OU
CanineDimorphism	OU	0.0311137814618382	0.0409286870884964	127.653483779381	TRUE	92	OU
Cerebellum	BM	4855320.08545246	NA	941.821316962013	FALSE	44	OU
Cerebellum	OU	7111969.37131843	0.021842478487031	939.093415642567	TRUE	44	OU
Chloride	BM	1.3064983785649	NA	199.101215226139	FALSE	33	OU
Chloride	OU	2.63128079192753	0.0602396157545684	191.718151164644	TRUE	33	OU
Cholesterol	BM	77.9272402400072	NA	325.162711249288	TRUE	32	BM
