Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_arctoides	Macaca_nigra	1679.11	332.5	10.9824679321	0.578798741489581	0.0904554104376569	0.98902588572106	0.945192315016376	6.04801990008275	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Mandrillus_sphinx	461.7	2332.1	18.570805318	0.803933704697063	0.152955585901384	0.993408991872852	0.98109206646274	5.15661441844181	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	332.5	2332.1	22.401646142	0.859466336565573	0.184507718008542	0.991819304351252	0.984884294099656	4.58774790196914	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	2332.1	239.5	29.8369393139	0.89943951585173	0.245747368308156	0.98351601529715	0.985851648100155	3.60823367173127	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Mandrillus_sphinx	1006.83	2332.1	18.5708053179	0.569626401210371	0.15295558590056	0.945771696094757	0.903728825813786	3.36560313039536	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Colobus_guereza	2332.1	188.42	38.593674154	0.921394677119868	0.317870869961168	0.96922416499276	0.986318159708039	2.85898579637911	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Theropithecus_gelada	1679.11	461.7	22.4016461421	0.523266109621071	0.184507718009366	0.892614007172449	0.86091377761547	2.4415618381295	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Chlorocebus_pygerythrus	1679.11	239.5	29.836939314	0.618771920775738	0.245747368308979	0.901000650228742	0.908564717241471	2.28769219017524	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Nomascus_concolor	2332.1	74.33	62.151576036	0.970432741902208	0.51190191079471	0.926972253894532	0.989588226240704	1.87600162354157	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Macaca_arctoides	Colobus_guereza	1679.11	188.42	38.5936741541	0.640727082043876	0.317870869961992	0.866905552252951	0.913560628352505	1.84144912600661	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Mandrillus_sphinx	5.54	2332.1	78.0653383523	1	0.64297317008069	0.900703046254357	0.991618642359822	1.54223953424896	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Mandrillus_sphinx	21.95	2332.1	78.0653383527	0.992946668042088	0.642973170083984	0.898295494672641	0.991147888321764	1.5306346190425	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	55.5	2332.1	78.0653383537	0.978526236159824	0.642973170092221	0.893228764008682	0.990111287761024	1.50682783801568	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	63.2	2332.1	78.0653383522	0.975216628842583	0.642973170079866	0.892038140888601	0.989858634533366	1.50134818297386	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Mandrillus_sphinx	175.7	2332.1	78.065338349	0.926861976480297	0.64297317005351	0.873417991167011	0.985454180300532	1.42055695606725	311.073749687393	303.753369718147	7.32037996924544	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Semnopithecus_vetulus	2332.1	1123.96	38.593674154	0.519281686266419	0.317870869961168	0.77651546558532	0.835324589213013	1.36460683333244	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Colobus_guereza	1123.96	188.42	27.017026324	0.402112990853449	0.22252158804848	0.740107538837777	0.732350304103132	1.32341124165977	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Nomascus_concolor	1679.11	74.33	62.1515760361	0.689765146826215	0.511901910795534	0.797402741839864	0.931379585283569	1.25499272975104	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Theropithecus_gelada	Papio_hamadryas	461.7	1006.83	12.5784127639	0.234307303486693	0.10360016493991	0.664012402883102	0.545807894155102	1.23442637350441	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Macaca_arctoides	5.54	1679.11	78.0653383524	0.719332404924008	0.642973170081514	0.764241490888006	0.942090435421041	1.0539727162821	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Macaca_arctoides	21.95	1679.11	78.0653383528	0.712279072966096	0.642973170084808	0.759616731639884	0.939589709140176	1.04086782797885	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Macaca_arctoides	55.5	1679.11	78.0653383538	0.697858641083832	0.642973170093045	0.749963432469265	0.934198051993636	1.01394305919965	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Macaca_arctoides	63.2	1679.11	78.0653383523	0.694549033766591	0.64297317008069	0.747710236127087	0.932906216311233	1.00773895596996	311.073749687393	303.753369718147	7.32037996924544	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Cheirogaleus_medius	2332.1	14.09	121.413057312	0.996325046420466	0.999999999958818	0.812100860291738	0.991348809072443	0.987705648258651	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Mandrillus_sphinx	Eulemur_macaco	2332.1	148.93	121.4130573131	0.938368234646861	0.999999999967878	0.785105717363746	0.986594453791258	0.925788895946225	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Macaca_nigra	Papio_hamadryas	332.5	1006.83	22.4016461419	0.289839935355203	0.184507718007719	0.627509417612622	0.587406540388661	0.922746622915527	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	1679.11	1006.83	22.401646142	0.288958806134379	0.184507718008542	0.626054238265873	0.585984364795671	0.917714143843728	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Macaca_arctoides	175.7	1679.11	78.0653383491	0.646194381404305	0.642973170054334	0.713171055827869	0.91153808686438	0.916104773264515	311.073749687393	303.753369718147	7.32037996924544	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Lemur_catta	2332.1	210.2	121.413057314	0.912033216422529	0.999999999975291	0.771956074359039	0.983757086878358	0.897219140146296	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Macaca_arctoides	Mandrillus_sphinx	1679.11	2332.1	22.4016461421	0.280667595075992	0.184507718009366	0.61218967740854	0.572460593350647	0.870809848742186	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	1006.83	239.5	29.8369393138	0.329813114641359	0.245747368307332	0.620774101772013	0.631697809912902	0.847790247498993	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Chlorocebus_pygerythrus	Semnopithecus_vetulus	239.5	1123.96	38.5936741539	0.38015782958531	0.317870869960345	0.627165559677486	0.690962463901376	0.826356912272065	311.073749687393	303.753369718147	7.32037996924544	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
