Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	245.171428571429	97.9583333333333	1.4560128688	0.191593223613818	0.0119922263796461	0.998812375427422	0.981773139211026	15.6852509820991	466.530497779485	461.399434959313	5.13106282017236	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Varecia_rubra	Varecia_variegata	426.28137254902	322.483333333333	3.814273482	0.135089890651118	0.0314156777389774	0.842122506590824	0.711132764283172	3.05792694219838	466.530497779485	461.399434959313	5.13106282017236	OU	Lemuridae	STR	Lemuridae	STR	family
Aotus_trivirgatus	Leontopithecus_chrysomelas	812.029411764706	97.9583333333333	40.5102348772	0.929341099613388	0.333656328010619	0.997128473615491	0.999127640384623	2.78289455951701	466.530497779485	461.399434959313	5.13106282017236	OU	Aotidae	PLA	Callitrichidae	PLA	superfamily
Aotus_trivirgatus	Cebuella_pygmaea	812.029411764706	170.266666666667	40.5102348762	0.835234072958799	0.333656328002383	0.992622094407529	0.997225492992001	2.49633122547613	466.530497779485	461.399434959313	5.13106282017236	OU	Aotidae	PLA	Callitrichidae	PLA	superfamily
Aotus_trivirgatus	Callithrix_jacchus	812.029411764706	182.93956043956	40.5102348758	0.818740699413891	0.333656327999088	0.991370143586099	0.996638624757242	2.44559607063371	466.530497779485	461.399434959313	5.13106282017236	OU	Aotidae	PLA	Callitrichidae	PLA	superfamily
Eulemur_macaco	Eulemur_flavifrons	195.604166666667	269.95303030303	3.030803714	0.0967627128080975	0.024962749320008	0.743544454129013	0.601139269300089	2.33018670048222	466.530497779485	461.399434959313	5.13106282017236	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	356.033	100	15.6477288174	0.333218914677249	0.128880115228809	0.914545246683643	0.86433938424366	2.23474529813342	466.530497779485	461.399434959313	5.13106282017236	OU	Lemuridae	STR	Lemuridae	STR	family
Aotus_trivirgatus	Saimiri_sciureus	812.029411764706	230.428192854154	41.3912937991	0.756935734613659	0.340913034507959	0.983700446938465	0.993131647767409	2.20506920322328	466.530497779485	461.399434959313	5.13106282017236	OU	Aotidae	PLA	Cebidae	PLA	superfamily
Aotus_trivirgatus	Leontopithecus_rosalia	812.029411764706	245.171428571429	40.5102348772	0.737747875999569	0.333656328010619	0.982046141671104	0.99177025044582	2.19290429798975	466.530497779485	461.399434959313	5.13106282017236	OU	Aotidae	PLA	Callitrichidae	PLA	superfamily
Macaca_fascicularis	Macaca_nigra	303.05	117.833333333333	10.9824679326	0.241053679200746	0.0904554104411791	0.862484077680301	0.77737898823341	2.07162915223155	466.530497779485	461.399434959313	5.13106282017236	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
