Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_albifrons	Eulemur_sanfordi	3008.22222222222	4125.87037037037	5.21120138	0.269186561540584	0.0429212598313493	0.981975300896574	0.946488142389099	5.936030060389	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_collaris	4182.5	2831.30701754386	7.651134656	0.325436044901782	0.0630173955347735	0.981713736170379	0.95039524550415	4.90805542129489	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_macaco	4182.5	2220.9	14.8274950171	0.47245312399338	0.122124385505322	0.986140625763562	0.969376725380834	3.75015243956081	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_macaco	4125.87037037037	2220.9	14.8274950179	0.45881382677218	0.122124385511911	0.983144472882527	0.964228981293956	3.62254914886734	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	4125.87037037037	2831.30701754386	9.5384061272	0.311796747680582	0.0785616171606259	0.957120957595006	0.912617179644841	3.62201134313335	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	2299.38636363636	4182.5	15.6477288174	0.453549612731717	0.128880115230188	0.978533253498745	0.957908643712819	3.37103278975457	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_sanfordi	2299.38636363636	4125.87037037037	15.6477288182	0.439910315510517	0.128880115236778	0.974286831060219	0.951332174967315	3.24721029676542	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	3008.22222222222	4182.5	9.5384061272	0.282825858761785	0.0785616171606259	0.933752017666689	0.87898813120989	3.16440244022178	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_flavifrons	4182.5	2487.72222222222	14.8274950171	0.408188751827932	0.122124385505322	0.966509310290968	0.938218646007068	3.1359035828158	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_flavifrons	4125.87037037037	2487.72222222222	14.8274950179	0.394549454606731	0.122124385511911	0.960131364716749	0.928995486142645	3.0013224701462	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	1842.02083333333	1346.96428571429	3.814273482	0.11923481467985	0.0314156777393138	0.779242009862731	0.67719425606625	2.57021772041139	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	4182.5	2725.79545454545	14.8274950171	0.350848599732545	0.122124385505322	0.932372485742175	0.891610590778214	2.56148946819152	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	4125.87037037037	2725.79545454545	14.8274950179	0.337209302511344	0.122124385511911	0.920986207142886	0.877184136311447	2.42207688120362	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Hapalemur_griseus	4182.5	746.706140350877	47.7997285402	0.827514040777173	0.393695123050855	0.983634209092039	0.991549044687649	2.08415270740408	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Hapalemur_griseus	4125.87037037037	746.706140350877	47.799728541	0.813874743555972	0.393695123057444	0.981778499003017	0.990405057850781	2.04743624004006	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Microcebus_murinus	4182.5	38.5	71.9834962244	0.998086126543928	0.592881011444701	0.981700025669885	0.996975777362477	1.6783598608785	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Microcebus_murinus	4125.87037037037	38.5	71.9834962252	0.984446829322727	0.59288101145129	0.980047956928365	0.996552595850567	1.65472164614775	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Propithecus_tattersalli	4182.5	126.333333333333	71.9834962254	0.976931389225369	0.592881011452938	0.979083143702141	0.996297027758934	1.64166809293554	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_fulvus	Cheirogaleus_medius	4182.5	126.5	71.9834962244	0.976891247408825	0.592881011444701	0.979077883100248	0.996295617638695	1.64159831385288	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Propithecus_coquereli	4182.5	137.9640625	71.9834962254	0.974130117646498	0.592881011452938	0.97871325743865	0.996197443673727	1.63679712161276	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_sanfordi	Propithecus_tattersalli	4125.87037037037	126.333333333333	71.9834962262	0.963292092004168	0.592881011459527	0.977228003960451	0.995788818291307	1.61792244215208	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_sanfordi	Cheirogaleus_medius	4125.87037037037	126.5	71.9834962252	0.963251950187625	0.59288101145129	0.977222339623013	0.99578723348481	1.61785244610585	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Propithecus_coquereli	4125.87037037037	137.9640625	71.9834962262	0.960490820425298	0.592881011459527	0.976829772044164	0.995676916365236	1.61303620759232	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_fulvus	Lemur_catta	4182.5	1556.75231481481	47.7997285384	0.632413691213362	0.39369512303603	0.933443866474423	0.955844216505538	1.5354240726266	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Varecia_variegata	4182.5	1346.96428571429	52.6432531394	0.682941326676736	0.433588069544855	0.940960629565684	0.966980597114863	1.52308390901418	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Lemur_catta	4125.87037037037	1556.75231481481	47.7997285392	0.618774393992161	0.393695123042619	0.927360870948136	0.951070206810513	1.49480614927371	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	2759.31666666667	4182.5	22.8374257184	0.342774985648779	0.188096949563401	0.849747808623402	0.819585819897155	1.49355701038893	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Varecia_variegata	4125.87037037037	1346.96428571429	52.6432531402	0.669302029455535	0.433588069551444	0.935714699162094	0.963316691873829	1.48701004976118	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_sanfordi	2759.31666666667	4125.87037037037	22.8374257192	0.329135688427578	0.18809694956999	0.832842931375572	0.801620387033523	1.40269089183547	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Hapalemur_griseus	3008.22222222222	746.706140350877	47.799728541	0.544688182015388	0.393695123057444	0.885930716887473	0.916980576686043	1.26866820035682	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Varecia_rubra	4182.5	1842.02083333333	52.6432531394	0.563706511996886	0.433588069544855	0.880835797230557	0.921532457159922	1.19808150547786	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Microcebus_murinus	3008.22222222222	38.5	71.9834962252	0.715260267782143	0.59288101145129	0.90914162093271	0.96641365837362	1.16589548109254	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Varecia_rubra	4125.87037037037	1842.02083333333	52.6432531402	0.550067214775686	0.433588069551444	0.87163656853182	0.914033947632207	1.15958012475899	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	2220.9	2487.72222222222	3.030803714	0.0642643721654485	0.0249627493202753	0.540934321321298	0.447563179040675	1.15221149467137	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Hapalemur_griseus	2831.30701754386	746.706140350877	47.7997285402	0.502077995875391	0.393695123050855	0.854759397337126	0.889918164994888	1.13490948353968	382.135326879306	379.836956445156	2.2983704341496	OU	Lemuridae	STR	Lemuridae	STR	family
