Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	21.7571428571429	11.9166666666667	1.4560128688	0.44813907889149	0.0119922263796461	0.999997224670515	0.864144415698436	32.2923258968492	252.084900594062	225.690528600979	26.3943719930833	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_albifrons	Eulemur_sanfordi	20.875	13.875	5.21120138	0.31878269826784	0.0429212598308897	0.921974941080962	0.706614689894796	5.2481343364074	252.084900594062	225.690528600979	26.3943719930833	OU	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Callithrix_jacchus	17.3055555555556	24.5397727272727	8.0860732424	0.329449038550788	0.0665997004031833	0.856274170288696	0.722468158094579	3.57383649816601	252.084900594062	225.690528600979	26.3943719930833	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_nemestrina	Macaca_nigra	17.9859104587542	11.1666666666667	7.6582823365	0.310550990883981	0.0630762663067973	0.843270901907986	0.693971804526104	3.41671509998526	252.084900594062	225.690528600979	26.3943719930833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	18.8087121212121	11.1666666666667	10.9824679321	0.348021695755066	0.0904554104370609	0.814914960960258	0.748658450681346	2.88041790190951	252.084900594062	225.690528600979	26.3943719930833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Leontopithecus_chrysomelas	24.5397727272727	11.9166666666667	23.8355055674	0.574861115788729	0.196317480952731	0.862699678832178	0.941877261993934	2.75802547556239	252.084900594062	225.690528600979	26.3943719930833	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_mulatta	Macaca_nigra	18.5963635783398	11.1666666666667	10.9824679327	0.338351261259341	0.0904554104420027	0.802405366927213	0.73524500986352	2.75020670633586	252.084900594062	225.690528600979	26.3943719930833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_fulvus	20.875	14.25	9.5384061272	0.301705053717777	0.0785616171597847	0.782346102839398	0.679988858115459	2.61140341024233	252.084900594062	225.690528600979	26.3943719930833	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	15.6020833333333	18.6477272727273	3.030803714	0.13869979899473	0.024962749320008	0.685298708328249	0.352488448140669	1.95852132625027	252.084900594062	225.690528600979	26.3943719930833	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nigra	17.02	11.1666666666667	10.9824679326	0.266563056265868	0.0904554104411791	0.689926013909992	0.620384625310104	1.82821150195934	252.084900594062	225.690528600979	26.3943719930833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_rubriventer	Eulemur_sanfordi	22.6875	13.875	22.8374257192	0.401324646926477	0.188096949567976	0.710756607531773	0.81409349967979	1.73695419874983	252.084900594062	225.690528600979	26.3943719930833	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	22.6875	14.25	22.8374257184	0.384247002376414	0.188096949561387	0.689744339048951	0.794664936479535	1.62335232149128	252.084900594062	225.690528600979	26.3943719930833	OU	Lemuridae	STR	Lemuridae	STR	family
