Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Gorilla_gorilla	45000	170400	20.238906202	0.736187675020694	0.166694642642164	1	1	4.41638473409751	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_gorilla	49566.7	170400	20.238906202	0.709377880319602	0.166694642642164	1	1	4.25555296244517	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_beringei	45000	162500	20.238906202	0.689809025637413	0.166694642642164	1	1	4.13815953952518	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_beringei	49566.7	162500	20.238906202	0.66299923093632	0.166694642642164	0.999999999999993	0.999999999999993	3.97732776787281	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_muelleri	170400	5632.3	45.7765141044	0.967304226327809	0.377031228065225	0.999999999999956	0.999999999999956	2.56558118883571	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_klossii	170400	5670	45.7765141043	0.967082900368094	0.377031228064401	0.999999999999955	0.999999999999955	2.56499416595503	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_lar	170400	5809.2	45.7765141047	0.96626569682453	0.377031228067696	0.999999999999953	0.999999999999953	2.56282669681407	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_agilis	170400	5880	45.776514104	0.965850050194614	0.37703122806193	0.999999999999951	0.999999999999951	2.56172427721536	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hoolock_hoolock	170400	7106.5	45.7765141037	0.958649618109982	0.377031228059459	0.999999999999926	0.999999999999926	2.54262656980426	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Nomascus_gabriellae	170400	7410	45.7765141043	0.956867856073548	0.377031228064401	0.999999999999917	0.999999999999917	2.5379008019729	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Nomascus_concolor	170400	7790	45.776514104	0.954636984331061	0.37703122806193	0.999999999999906	0.999999999999906	2.53198386043016	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Gorilla_gorilla	162500	170400	2.069936054	0.0463786493832814	0.0170487104080538	0.911194101541136	0.911194103870943	2.47877703028652	2964.47473480889	2966.47473480888	-1.99999999999864	BM	Hominidae	APE	Hominidae	APE	family
