Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	22.1202014652015	44.0351565747071	4.786270704	0.302814010067799	0.0394213835788014	0.999828942667402	0.999530936741515	7.68015183702917	282.053379528242	283.371450978934	-1.31807145069189	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_gorilla	22.1202014652015	72.459452197162	20.238906202	0.695572055784933	0.166694642644773	0.999973097822479	0.999948537807925	4.17261966159427	282.053379528242	283.371450978934	-1.31807145069189	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_gorilla	44.0351565747071	72.459452197162	20.238906202	0.392758045717134	0.166694642644773	0.982238093428902	0.977758732214446	2.31430301468154	282.053379528242	283.371450978934	-1.31807145069189	BM	Hominidae	APE	Hominidae	APE	family
Macaca_fascicularis	Gorilla_gorilla	1.9973746835443	72.459452197162	62.1515760326	0.973622995939964	0.511901910763334	0.999201656755645	0.999609433557876	1.90045336839616	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nemestrina	Gorilla_gorilla	3.38379856115108	72.459452197162	62.1515760325	0.954465823500685	0.51190191076251	0.998988782726375	0.999492181895463	1.86266280927254	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	4.25067673083353	72.459452197162	62.1515760327	0.942487571503813	0.511901910764157	0.998830151712992	0.99940298750148	1.83899490163551	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_arctoides	Gorilla_gorilla	9.33744400559118	72.459452197162	62.1515760321	0.87220020887614	0.511901910759216	0.997335853945989	0.998511670559795	1.69930317087744	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nigra	Gorilla_gorilla	9.61365805288461	72.459452197162	62.151576032	0.868383569376764	0.511901910758392	0.997218444947683	0.998438731851158	1.69166806076005	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	0.121293452380952	72.459452197162	78.0653383507	0.999546100869122	0.642973170063275	0.997872141894841	0.999216822799154	1.5512610090694	282.053379528242	283.371450978934	-1.31807145069189	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	0.312880280174745	72.459452197162	78.0653383503	0.996898813876723	0.642973170059981	0.997813420629141	0.999191234894593	1.54706146665913	282.053379528242	283.371450978934	-1.31807145069189	BM	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Gorilla_gorilla	0.61175126956377	72.459452197162	78.0653383517	0.992769107822679	0.642973170071512	0.997718845276302	0.99914976511566	1.540506655624	282.053379528242	283.371450978934	-1.31807145069189	BM	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_chrysomelas	Gorilla_gorilla	0.679090476190476	72.459452197162	78.0653383517	0.991838635682009	0.642973170071512	0.997697025518933	0.999140153220598	1.5390291580979	282.053379528242	283.371450978934	-1.31807145069189	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	0.862574598634272	72.459452197162	78.065338345	0.98930330934329	0.642973170016328	0.997636597945968	0.999113449263448	1.53500213367358	282.053379528242	283.371450978934	-1.31807145069189	BM	Cebidae	PLA	Hominidae	APE	order
Macaca_fascicularis	Pongo_pygmaeus	1.9973746835443	49.2398082566943	62.1515760366	0.652781202797997	0.511901910796279	0.975444201304828	0.982580225066279	1.24389385067856	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nemestrina	Pongo_pygmaeus	3.38379856115108	49.2398082566943	62.1515760365	0.633624030358718	0.511901910795456	0.970915436521216	0.978997896226147	1.20178366021354	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Pongo_pygmaeus	4.25067673083353	49.2398082566943	62.1515760367	0.621645778361847	0.511901910797103	0.967732634649491	0.976445339399256	1.17519957285584	282.053379528242	283.371450978934	-1.31807145069189	BM	Cercopithecidae	OWM	Hominidae	APE	order
