Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Theropithecus_gelada	Papio_hamadryas	11400	23250	12.5784127639	0.513275869536969	0.10360016493991	0.981811165868812	0.947724176732688	4.69539745593864	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	15866.67	5600	10.9824679321	0.444694849915537	0.0904554104376569	0.971462694427681	0.923142015656986	4.53832996961794	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	5600	23250	22.4016461419	0.764499501884177	0.184507718007719	0.991609239819105	0.983298428561105	4.0742531908991	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	5600	23000	22.401646142	0.753670897041625	0.184507718008542	0.990639294324392	0.981691251538196	4.00997927973102	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	23250	5300	29.8369393138	0.77749382769524	0.245747368307332	0.979811323896545	0.976273156047322	3.08872627283675	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	23000	5300	29.8369393139	0.766665222852688	0.245747368308156	0.978005999033089	0.974254296487934	3.03940950608879	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Mandrillus_sphinx	11400	23000	18.570805318	0.502447264694417	0.152955585901384	0.942920902628572	0.9037541757473	2.96876253903638	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	23250	5000	38.5936741539	0.790488153506302	0.317870869960345	0.962152986712719	0.970902776852733	2.41446202165113	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	23000	5000	38.593674154	0.77965954866375	0.317870869961168	0.959446120109742	0.968624229378812	2.37579847940931	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	23250	9750	38.5936741539	0.584744661497813	0.317870869960345	0.875473107980784	0.893517160669933	1.64368439839614	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Colobus_guereza	23000	9750	38.593674154	0.573916056655261	0.317870869961168	0.868343459402048	0.88687746754266	1.60125782828312	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	163	23250	78.0653383526	1	0.642973170083161	0.935253006925538	0.989468622442504	1.53889566234082	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	311.6	23250	78.0653383522	0.993563477281587	0.642973170079866	0.933511015095768	0.98895941768224	1.52820366952588	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Chlorocebus_pygerythrus	15866.67	5300	29.836939314	0.457689175726599	0.245747368308979	0.828494304901353	0.816908584569207	1.52144138628321	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Mandrillus_sphinx	163	23000	78.0653383527	0.989171395157448	0.642973170083984	0.932300316549608	0.988599510558768	1.52089449857395	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	311.6	23000	78.0653383523	0.982734872439035	0.64297317008069	0.930493347825173	0.988053255704933	1.51016315359831	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	624	23250	78.0653383521	0.980032052670334	0.642973170079043	0.92972285041131	0.987817038292105	1.50564969854206	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	641.67	23250	78.0653383536	0.979266686880062	0.642973170091397	0.92950339752135	0.987749400251162	1.50437083170085	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	624	23000	78.0653383522	0.969203447827782	0.642973170079866	0.926565337995953	0.986828629101123	1.4875235145833	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	641.67	23000	78.0653383537	0.96843808203751	0.642973170092221	0.926337843364205	0.986756157575297	1.48623968328859	393.953378722428	390.383655682172	3.56972304025561	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Papio_hamadryas	1750	23250	78.0653383489	0.931260016459479	0.642973170052686	0.914574501295277	0.98278331046128	1.42342922613906	393.953378722428	390.383655682172	3.56972304025561	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Mandrillus_sphinx	1750	23000	78.065338349	0.920431411616927	0.64297317005351	0.910876175379583	0.981444819163274	1.40496164132539	393.953378722428	390.383655682172	3.56972304025561	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Nomascus_concolor	23250	6550	62.1515760359	0.723350803482479	0.511901910793887	0.865694046059592	0.939601704323088	1.32771852076417	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Mandrillus_sphinx	Nomascus_concolor	23000	6550	62.151576036	0.712522198639927	0.51190191079471	0.859766056135735	0.935652268780525	1.30234522992686	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Macaca_arctoides	Semnopithecus_vetulus	15866.67	5000	38.5936741541	0.470683501537662	0.317870869961992	0.783698729316882	0.806171443712212	1.1937287553638	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	15866.67	23250	22.401646142	0.31980465196864	0.184507718008542	0.729824546949227	0.683234176845109	1.18424026104379	393.953378722428	390.383655682172	3.56972304025561	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
