Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_coucang	Nycticebus_bengalensis	6.481577129	6.966024187	0.7309786948	0.0637354656962669	0.00602059375603413	0.998830140821957	0.998830140818167	10.5738581203808	205.315938498416	207.315938498415	-1.99999999999935	BM	Lorisidae	STR	Lorisidae	STR	family
Loris_lydekkerianus	Loris_tardigradus	5.587248658	5.262690189	1.3666886474	0.0426999913112949	0.0112565211483085	0.888274767352994	0.888274767251201	3.36954236111526	205.315938498416	207.315938498415	-1.99999999999935	BM	Lorisidae	STR	Lorisidae	STR	family
Nycticebus_pygmaeus	Nycticebus_bengalensis	5.726847748	6.966024187	5.9520781674	0.163030172472441	0.0490233777058033	0.996383978251623	0.996383978242057	3.31353446916632	205.315938498416	207.315938498415	-1.99999999999935	BM	Lorisidae	STR	Lorisidae	STR	family
Semnopithecus_vetulus	Semnopithecus_entellus	8.738254577	9.598455842	5.7933545577	0.113170938520372	0.0477160750712765	0.95938307077276	0.959383070715689	2.27542358330448	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Callithrix_kuhlii	4.753590191	5.922462747	8.0860732424	0.153780759870454	0.066599700402141	0.981471669713627	0.981471669680265	2.2662483201656	205.315938498416	207.315938498415	-1.99999999999935	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Callithrix_jacchus	4.753590191	5.768320996	8.0860732424	0.133501358600515	0.066599700402141	0.959080337178506	0.95908033712116	1.92250906906865	205.315938498416	207.315938498415	-1.99999999999935	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Nycticebus_pygmaeus	Nycticebus_coucang	5.726847748	6.481577129	5.9520781674	0.099294706776174	0.0490233777058033	0.923649463423896	0.923649463340344	1.87081157861118	205.315938498416	207.315938498415	-1.99999999999935	BM	Lorisidae	STR	Lorisidae	STR	family
Saguinus_oedipus	Saguinus_geoffroyi	6.06610809	6.248042875	1.0824088122	0.0239359452324823	0.00891509394537232	0.683571874335959	0.683571874198451	1.83530751855554	205.315938498416	207.315938498415	-1.99999999999935	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Galago_moholi	Otolemur_crassicaudatus	4.997212274	6.745236349	15.608317406	0.22997585934026	0.128555509189599	0.988748366959775	0.988748366936643	1.76879432702874	205.315938498416	207.315938498415	-1.99999999999935	BM	Galagidae	STR	Galagidae	STR	family
Callithrix_kuhlii	Callithrix_jacchus	5.922462747	5.768320996	0.9187599778	0.0202794012699382	0.00756722545401981	0.64309506326253	0.643095063125888	1.72342993107061	205.315938498416	207.315938498415	-1.99999999999935	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Lophocebus_aterrimus	Papio_ursinus	8.824677891	10.01234196	10.8417269354	0.156253033800936	0.0892962188313239	0.96121006884364	0.961210068788246	1.68195239778888	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Galago_moholi	Otolemur_garnettii	4.997212274	6.638567789	15.608317406	0.215942188922656	0.128555509189599	0.982692365564682	0.982692365532916	1.65068569830525	205.315938498416	207.315938498415	-1.99999999999935	BM	Galagidae	STR	Galagidae	STR	family
Macaca_fuscata	Macaca_cyclopis	9.16062478	8.607033895	4.6628169341	0.0728322574738051	0.0384045755624295	0.858088971653799	0.858088971540558	1.62732059926894	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_fuscata	8.354909528	9.16062478	7.327012852	0.106002577488673	0.0603478160730835	0.911853529866044	0.911853529775715	1.60169548374192	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_radiata	9.239899174	8.533853632	6.4191736629	0.0928896990476578	0.0528705380179768	0.889619520529007	0.889619520427806	1.56299694738804	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Rhinopithecus_bieti	Rhinopithecus_roxellana	9.116029693	9.598998362	4.260304706	0.0635409639239075	0.0350893454134998	0.819920753089518	0.81992075296577	1.48474000807323	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Semnopithecus_johnii	8.738254577	9.358760377	5.7933545572	0.0816358061776788	0.0477160750671583	0.86029890339784	0.860298903285334	1.47185606598632	205.315938498416	207.315938498415	-1.99999999999935	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Ateles_paniscus	4.753590191	9.021598247	46.5475501497	0.561513330615744	0.383381748036645	0.999661420274128	0.999661420272808	1.46413650743889	205.315938498416	207.315938498415	-1.99999999999935	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Galago_senegalensis	Otolemur_crassicaudatus	5.267858159	6.745236349	15.608317406	0.19436878683482	0.128555509189599	0.967832686065515	0.967832686016565	1.46330924466409	205.315938498416	207.315938498415	-1.99999999999935	BM	Galagidae	STR	Galagidae	STR	family
Cebuella_pygmaea	Ateles_belzebuth	4.753590191	9.007856923	46.5475501497	0.559705476341555	0.383381748036645	0.999646142025857	0.999646142024485	1.45940025303995	205.315938498416	207.315938498415	-1.99999999999935	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
