Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_hamadryas	Chlorocebus_pygerythrus	173.92	80.81	29.8369393138	0.544216494242796	0.245747368307332	0.987936095837744	0.987936096703831	2.18782045283327	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	105.15	173.92	22.4016461419	0.401952188906423	0.184507718007719	0.967623903255958	0.967623905003157	2.10797981868509	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	167.83	80.81	29.8369393139	0.508621193523876	0.245747368308156	0.981028044876978	0.981028046082923	2.03042522286561	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	105.15	167.83	22.401646142	0.366356888187504	0.184507718008542	0.948853616781357	0.948853619127534	1.88403532460026	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	173.92	72	38.5936741539	0.59570986030744	0.317870869960345	0.984309277809213	0.984309278860579	1.84465705352678	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	167.83	72	38.593674154	0.560114559588521	0.317870869961168	0.976893343854931	0.976893345241519	1.72136624260381	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	118.02	173.92	22.401646142	0.326728622362499	0.184507718008542	0.918016942360725	0.918016945448572	1.62563612037664	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	173.92	86.51	38.5936741539	0.510900695540359	0.317870869960345	0.961740996605946	0.961740998557019	1.54576650624498	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_hamadryas	140.9	173.92	12.5784127639	0.192997837395523	0.10360016493991	0.829652456780693	0.829652461096264	1.54556829172452	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	4.4	173.92	78.0653383526	0.990823543164416	0.642973170083161	0.995279088078304	0.995279088498752	1.53372799732786	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	7.25	173.92	78.0653383522	0.974165643813198	0.642973170079866	0.994530240412223	0.994530240884447	1.50680811739396	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	9.97	173.92	78.0653383521	0.958267578467473	0.642973170079043	0.993717228519957	0.99371722904628	1.48100581263471	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Mandrillus_sphinx	4.4	167.83	78.0653383527	0.955228242445497	0.642973170083984	0.993549947338969	0.993549947876177	1.47605998840426	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	13.21	173.92	78.0653383536	0.939330177099772	0.642973170091397	0.992607898317998	0.992607898915088	1.45011735526249	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	7.25	167.83	78.0653383523	0.938570343094278	0.64297317008069	0.992559929835955	0.992559930436033	1.44887431892509	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	9.97	167.83	78.0653383522	0.922672277748554	0.642973170079866	0.991490130399626	0.991490131064959	1.42279724808331	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Colobus_guereza	167.83	86.51	38.593674154	0.475305394821439	0.317870869961168	0.946108113265546	0.946108115688226	1.41469487397314	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_chrysomelas	Mandrillus_sphinx	13.21	167.83	78.0653383537	0.903734876380852	0.642973170092221	0.99003778905245	0.990037789802531	1.39155367676284	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Mandrillus_sphinx	118.02	167.83	22.4016461421	0.29113332164358	0.184507718009366	0.87881225720697	0.87881226096444	1.38667116097967	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Chlorocebus_pygerythrus	140.9	80.81	29.8369393139	0.351218656847273	0.245747368308156	0.894776711551775	0.89477671506576	1.27880219826145	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Theropithecus_gelada	4.4	140.9	78.0653383527	0.797825705768894	0.642973170083984	0.97710138834234	0.977101389720171	1.21242478074189	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Theropithecus_gelada	7.25	140.9	78.0653383523	0.781167806417675	0.64297317008069	0.9740940983089	0.974094099810238	1.18345676838253	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Nomascus_concolor	4.4	137.79	78.0653383547	0.779648138406687	0.642973170100457	0.973803472107428	0.973803473620366	1.18080209176365	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Saguinus_oedipus	Theropithecus_gelada	9.97	140.9	78.0653383522	0.76526974107195	0.642973170079866	0.970911398609506	0.970911400234912	1.15558338853456	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Nomascus_concolor	7.25	137.79	78.0653383543	0.762990239055468	0.642973170097163	0.970428535697421	0.970428537341104	1.15156826890014	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Theropithecus_gelada	Semnopithecus_vetulus	140.9	72	38.593674154	0.402712022911918	0.317870869961168	0.897591206022406	0.89759120948961	1.13716230231914	191.06488881675	193.06488881675	-1.99999999999997	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Nomascus_concolor	9.97	137.79	78.0653383542	0.747092173709743	0.642973170096339	0.966865321202883	0.966865322977343	1.12343336875752	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Leontopithecus_chrysomelas	Theropithecus_gelada	13.21	140.9	78.0653383537	0.746332339704249	0.642973170092221	0.966686191131422	0.966686192912275	1.12208284940322	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Nomascus_concolor	13.21	137.79	78.0653383557	0.728154772342042	0.642973170108693	0.962147158273141	0.962147160210669	1.08961318692892	191.06488881675	193.06488881675	-1.99999999999997	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Sapajus_apella	Papio_hamadryas	50.76	173.92	78.0653383489	0.71985504705126	0.642973170052686	0.95990576584043	0.959905767851797	1.07468404968938	191.06488881675	193.06488881675	-1.99999999999997	BM	Cebidae	PLA	Cercopithecidae	OWM	order
