Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	480.15	455.89	2.069936054	0.0507011640786641	0.0170487104081942	0.948255668358298	0.948255670890016	2.82001776549912	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_beringei	Hylobates_muelleri	480.15	86.95	45.7765141044	0.821751760747351	0.37703122806833	0.999999999979769	0.999999999979769	2.17953235582332	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_klossii	480.15	90.55	45.7765141043	0.814228092541119	0.377031228067506	0.999999999969256	0.999999999969256	2.15957732914978	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_agilis	480.15	90.93	45.776514104	0.813433927563794	0.377031228065035	0.999999999967874	0.999999999967874	2.1574709652362	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_lar	480.15	100.49	45.7765141047	0.793454408660578	0.377031228070801	0.999999999904227	0.999999999904227	2.10447928317383	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hoolock_hoolock	480.15	105.78	45.7765141037	0.782398796213087	0.377031228062565	0.999999999826664	0.999999999826664	2.07515648000287	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_muelleri	455.89	86.95	45.7765141044	0.771050596668687	0.37703122806833	0.999999999683949	0.999999999683949	2.04505764781175	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_klossii	455.89	90.55	45.7765141043	0.763526928462455	0.377031228067506	0.999999999531509	0.999999999531509	2.02510262085782	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_agilis	455.89	90.93	45.776514104	0.76273276348513	0.377031228065035	0.999999999511739	0.999999999511739	2.02299625690727	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Nomascus_gabriellae	480.15	117.25	45.7765141043	0.758427553344898	0.377031228067506	0.999999999389544	0.999999999389544	2.01157754695618	1159.62185503565	1161.62185503565	-2	BM	Hominidae	APE	Hylobatidae	APE	superfamily
