Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_coucang	Nycticebus_bengalensis	2.315501318	2.60194867	0.7309786948	0.0501798501326539	0.00602059375603413	0.997024701048606	0.997024701008179	8.30990299370889	86.5482317424734	88.548231742473	-1.99999999999964	BM	Lorisidae	STR	Lorisidae	STR	family
Trachypithecus_geei	Trachypithecus_pileatus	4.398146017	4.640923356	1.3038027628	0.0425297367965353	0.0107385712178129	0.940567560997071	0.94056756063946	3.72508502268998	86.5482317424734	88.548231742473	-1.99999999999964	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Nycticebus_bengalensis	1.978239036	2.60194867	5.9520781674	0.109261460236548	0.0490233777058033	0.976578297813676	0.976578297618899	2.17656097657696	86.5482317424734	88.548231742473	-1.99999999999964	BM	Lorisidae	STR	Lorisidae	STR	family
Semnopithecus_vetulus	Semnopithecus_entellus	4.115616697	4.708899372	5.7933545577	0.103931265239275	0.0477160750712765	0.971129552613283	0.971129552388267	2.11523523180779	86.5482317424734	88.548231742473	-1.99999999999964	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_pileatus	4.0580263	4.640923356	7.1253052128	0.102111912393748	0.0586864820810659	0.947126560679088	0.947126560345887	1.64795879664863	86.5482317424734	88.548231742473	-1.99999999999964	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Callithrix_kuhlii	1.458615023	2.075684493	8.0860732424	0.108098236237269	0.066599700402141	0.945625908814539	0.945625908475594	1.53484913994943	86.5482317424734	88.548231742473	-1.99999999999964	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Galago_moholi	Otolemur_garnettii	1.311031877	2.442347035	15.608317406	0.198183801263555	0.128555509189599	0.988873276134135	0.988873276020696	1.5244672598447	86.5482317424734	88.548231742473	-1.99999999999964	BM	Galagidae	STR	Galagidae	STR	family
Cebuella_pygmaea	Ateles_belzebuth	1.458615023	4.76234486	46.5475501497	0.578747427553238	0.383381748036645	0.999982372452326	0.999982372451847	1.50955862823196	86.5482317424734	88.548231742473	-1.99999999999964	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Cebuella_pygmaea	Ateles_geoffroyi	1.458615023	4.654817126	46.5475501497	0.559910717981478	0.383381748036645	0.999967224745123	0.999967224744287	1.46040433492799	86.5482317424734	88.548231742473	-1.99999999999964	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Cebuella_pygmaea	Ateles_paniscus	1.458615023	4.64294755	46.5475501497	0.557831405533101	0.383381748036645	0.99996494241766	0.999964942416772	1.45497758349036	86.5482317424734	88.548231742473	-1.99999999999964	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
