Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	7895.10714285714	1567.33333333333	1.4560128688	0.806485776234196	0.0119922263796461	0.999999987965215	0.999646427909676	67.2269351703374	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Leontopithecus_rosalia	300.333333333333	7895.10714285714	23.8355055678	0.96796712958959	0.196317480956025	0.909094100790149	0.999952681696374	4.93038787128623	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Callithrix_jacchus	Leontopithecus_rosalia	374.333333333333	7895.10714285714	23.8355055674	0.958535700901114	0.196317480952731	0.905901926990757	0.999943949842692	4.88230579453633	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Leontopithecus_rosalia	Saimiri_sciureus	7895.10714285714	782.642857142857	41.3912937967	0.906495942027666	0.340913034488192	0.77043183290535	0.999861101185913	2.65865466885731	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Leontopithecus_rosalia	Pongo_pygmaeus	7895.10714285714	142.280753968254	78.0653383557	0.988111205688394	0.642973170104457	0.65972801442903	0.999967208555481	1.5367341127688	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pan_paniscus	7895.10714285714	142.644841269841	78.0653383517	0.988064802128646	0.642973170071512	0.65970533675635	0.999967180583499	1.53666190193984	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Gorilla_gorilla	7895.10714285714	280.809649122807	78.0653383517	0.970455457094562	0.642973170071512	0.651029672400498	0.999954760662829	1.50925668364202	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pan_troglodytes	7895.10714285714	286.859062194453	78.0653383517	0.969684448878449	0.642973170071512	0.65064663388252	0.999954125941501	1.50805665096332	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Macaca_mulatta	7895.10714285714	293.269459625342	78.0653383544	0.968867432577986	0.64297317009375	0.650240447257621	0.999953444133052	1.50678499691277	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_rosalia	Macaca_arctoides	7895.10714285714	334.3125	78.0653383538	0.963636425707016	0.642973170088808	0.647632709387276	0.999948845777073	1.4986428306198	656.866783776547	591.082880822791	65.7839029537557	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
