Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Cebuella_pygmaea	Callithrix_jacchus	9.10277777777778	10.5825842696629	8.0860732424	0.477892206394843	0.0665997004031833	0.996477610067503	0.982302461334848	7.04860063562626	83.5144331691828	76.085890885632	7.42854228355083	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	9.68321428571429	9.375	1.4560128688	0.099535449972771	0.0119922263796461	0.847933842728309	0.71445879734294	5.93000629151175	83.5144331691828	76.085890885632	7.42854228355083	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_fascicularis	Macaca_nemestrina	10.1495	8.64761904761905	10.9824679331	0.485020984846065	0.0904554104452973	0.988953073466658	0.967751581209699	5.1890740718989	83.5144331691828	76.085890885632	7.42854228355083	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_sanfordi	11.3006944444444	10.5675	5.21120138	0.236779546983618	0.0429212598308897	0.928291691425099	0.84177388264341	4.64373225250727	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nemestrina	9.80530303030303	8.64761904761905	10.9824679326	0.373865201853545	0.0904554104411791	0.949866495789503	0.901174907234296	3.72468531130693	83.5144331691828	76.085890885632	7.42854228355083	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Varecia_rubra	Varecia_variegata	9.96916666666667	10.4316666666667	3.814273482	0.149360843238407	0.0314156777389774	0.815784432504355	0.693036463623707	3.29493164087854	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	11.3006944444444	10.45	9.5384061272	0.274725274725265	0.0785616171597847	0.877535287627223	0.798915808092669	2.79376078033393	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	10.0479333333333	11.3006944444444	15.6477288182	0.404569634447188	0.128880115235398	0.924236624524409	0.886428250669758	2.78260112261777	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_mulatta	10.1495	9.46846072632469	7.3270128521	0.21993643285321	0.0603478160748515	0.841694872244607	0.743951938785365	2.71131825926785	83.5144331691828	76.085890885632	7.42854228355083	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_collaris	11.3006944444444	10.5037925170068	9.5384061272	0.257353392130558	0.0785616171597847	0.852059785527626	0.768937550500485	2.51889782965365	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_nemestrina	Macaca_nigra	8.64761904761905	9.31666666666667	7.6582823365	0.216063819562366	0.0630762663067973	0.82478838626553	0.72691154625156	2.48999020333853	83.5144331691828	76.085890885632	7.42854228355083	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nigra	10.1495	9.31666666666667	10.9824679326	0.268957165283699	0.0904554104411791	0.84121500592891	0.764937311839497	2.274439638366	83.5144331691828	76.085890885632	7.42854228355083	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nemestrina	9.46846072632469	8.64761904761905	10.9824679332	0.265084551992855	0.0904554104461209	0.835130634343205	0.758128206917022	2.22173637920144	83.5144331691828	76.085890885632	7.42854228355083	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	10.4883333333333	10.7785606060606	3.030803714	0.0937266814817938	0.024962749320008	0.650103940452517	0.523408975917363	1.96522369157465	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	11.3006944444444	10.352380952381	14.8274950179	0.306250600711217	0.122124385510603	0.832701022736815	0.777036770535027	1.9485705230459	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Hapalemur_griseus	11.3006944444444	8.90043859649123	47.799728541	0.775144297163628	0.393695123053229	0.948429806001567	0.982944241302847	1.9353138468335	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Mirza_zaza	11.3006944444444	8.20416666666667	71.9834962252	1	0.592881011444942	0.959293692902728	0.997219517075783	1.68198929941339	83.5144331691828	76.085890885632	7.42854228355083	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Callithrix_jacchus	Saimiri_sciureus	10.5825842696629	8.72283827283827	41.3912937953	0.600590768205317	0.340913034476661	0.894959375753483	0.939894844038019	1.65582453390076	83.5144331691828	76.085890885632	7.42854228355083	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
