Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_anubis	Papio_ursinus	2.221	3.839	4.8778566851	0.369153547798312	0.0401757174460734	0.999999482854765	0.999987122486068	9.18835598925779	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_ursinus	2.743	3.839	4.8778566851	0.250057038558065	0.0401757174460734	0.999326970632924	0.996871774716354	6.20461362369666	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Papio_ursinus	3.003	3.839	3.7904618637	0.190736938170203	0.0312195570016026	0.99674209717694	0.98857281302364	6.0397189974462	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Mandrillus_leucophaeus	5.263	4.1	5.449018498	0.265343372119553	0.0448800039990488	0.999359519003245	0.997149160706053	5.89542997397089	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lophocebus_aterrimus	Mandrillus_sphinx	1.897	5.263	18.5708053182	0.767967145790554	0.152955585900889	0.999999913063061	0.999999878406716	5.02084999307268	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lophocebus_aterrimus	Papio_ursinus	1.897	3.839	10.8417269354	0.443075519050878	0.0892962188320594	0.999946854382941	0.999801318674502	4.9608762164117	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Mandrillus_sphinx	2.221	5.263	18.5708053179	0.694045174537988	0.152955585898418	0.9999986813956	0.99999826252032	4.53755228729948	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Papio_cynocephalus	2.221	3.003	4.8778566854	0.178416609628109	0.0401757174485443	0.984740147948892	0.964994541949209	4.28545065074988	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Mandrillus_sphinx	2.04	5.263	22.4016461426	0.73534109057723	0.184507718010901	0.999996929041233	0.999998169758243	3.98541455421294	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Mandrillus_sphinx	2.072	5.263	22.4016461427	0.728040155144878	0.184507718011724	0.999996156839018	0.999997686875274	3.94584291076069	139.35245536799	127.653483779381	11.6989715886096	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
