Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	44135.09	59983.32	2.069936054	0.265245361788218	0.0170487104083346	0.999999424067798	0.999970503620904	15.5576305572535	941.821316962012	939.093415642567	2.72790131944532	OU	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	59983.32	11792.31	45.7765141047	0.806553279602178	0.377031228073906	0.998772789224452	0.99921836647259	2.13754933413425	941.821316962012	939.093415642567	2.72790131944532	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	5828	59983.32	62.1515760317	0.906375503520375	0.511901910756343	0.998176065356828	0.999503198790157	1.76972423043926	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	6758	59983.32	62.1515760318	0.890810472822117	0.511901910757166	0.99781572834595	0.999379909796743	1.73911851326782	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	7830.42	59983.32	62.1515760327	0.872861816670047	0.511901910764579	0.997319873343785	0.999202638154775	1.70377529683101	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	8063	59983.32	62.1515760308	0.868969220068111	0.51190191074893	0.997199592955369	0.999158445891593	1.69610215789314	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	8458.67	59983.32	62.151576032	0.862347052652649	0.511901910758814	0.996983591171078	0.999078009884954	1.68304114340431	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	8648	59983.32	62.151576032	0.859178313661143	0.511901910758814	0.996874949107323	0.999037051918773	1.67678797736895	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	12113	59983.32	62.151576031	0.801186021866023	0.511901910750577	0.994143261859443	0.99791826150189	1.56185813197662	941.821316962012	939.093415642567	2.72790131944532	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	468	59983.32	78.0653383507	0.996083637437213	0.642973170063805	0.997764109334834	0.999733857169024	1.54877152466445	941.821316962012	939.093415642567	2.72790131944532	OU	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	757	59983.32	78.0653383503	0.991246762306249	0.64297317006051	0.997650836989326	0.999714925395329	1.54122167015786	941.821316962012	939.093415642567	2.72790131944532	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	984	59983.32	78.0653383502	0.987447555888502	0.642973170059687	0.99755820694706	0.999699178058844	1.53529036041475	941.821316962012	939.093415642567	2.72790131944532	OU	Callitrichidae	PLA	Hominidae	APE	order
Pan_troglodytes	Hylobates_lar	46879.55	11792.31	45.7765141047	0.587240825502282	0.377031228073906	0.98140366968073	0.985546984281149	1.53502782137478	941.821316962012	939.093415642567	2.72790131944532	OU	Hominidae	APE	Hylobatidae	APE	superfamily
