Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Cebuella_pygmaea	Callithrix_jacchus	117	105.268656716418	8.0860732424	0.567645642753967	0.0665997004031833	0.999692990308082	0.995743597881989	8.48696782742364	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_fascicularis	Macaca_nigra	105.72619047619	113.991666666667	10.9824679326	0.399942396313403	0.0904554104411791	0.970893703539465	0.927776372132004	4.10209962791245	199.101215226139	191.718151164644	7.38306406149505	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	107.004579889807	113.991666666667	10.9824679327	0.338084844041612	0.0904554104420027	0.934897777783308	0.871403960762257	3.2569469391822	199.101215226139	191.718151164644	7.38306406149505	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	107.659722222222	113.991666666667	10.9824679321	0.306384408602177	0.0904554104370609	0.905397024618596	0.831540603207599	2.81653772517817	199.101215226139	191.718151164644	7.38306406149505	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_sanfordi	102.108333333333	105.533333333333	5.21120138	0.165725806451613	0.0429212598308897	0.810687136485921	0.681910216336964	2.63296373348077	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	111.25	110	1.4560128688	0.0604838709677418	0.0119922263796461	0.635224011314817	0.48603435685616	2.45135793766136	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Varecia_rubra	Varecia_variegata	105.009259259259	102.520833333333	3.814273482	0.120407706093193	0.0314156777389774	0.735028006544735	0.594030390666656	2.27675612425427	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	108.40597826087	99.0263157894737	25.8477057818	0.453854635712724	0.212890658985247	0.893487281677298	0.8898441474683	1.89702964571269	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
Cheirogaleus_medius	Mirza_zaza	96.3333333333333	109.902777777778	49.55786972	0.656586021505388	0.408175782859019	0.908274286837392	0.964887706323509	1.55210526175001	199.101215226139	191.718151164644	7.38306406149505	OU	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Propithecus_tattersalli	Propithecus_coquereli	105.666666666667	109.149470899471	8.601073458	0.168522785458258	0.0708414205853214	0.701176075759966	0.592729095335935	1.41002759886583	199.101215226139	191.718151164644	7.38306406149505	OU	Indriidae	STR	Indriidae	STR	family
Cebuella_pygmaea	Leontopithecus_chrysomelas	117	110	23.8355055678	0.338709677419354	0.196317480956025	0.790298497111503	0.774969526714817	1.33706727044956	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_sanfordi	Eulemur_collaris	105.533333333333	102.293764172336	9.5384061272	0.156753346499855	0.0785616171597847	0.641217619130889	0.541569224833246	1.08058860577274	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Pan_troglodytes	117	102.492593120251	78.0653383507	0.701971300633015	0.642973170063275	0.849140452745024	0.972552147097598	1.06179188715502	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Leontopithecus_rosalia	105.268656716418	111.25	23.8355055674	0.289419836302355	0.196317480952731	0.716210481291103	0.700125898895976	1.03215629125916	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_coquereli	Cheirogaleus_medius	109.149470899471	96.3333333333333	69.529333389	0.620135688684081	0.57266767615452	0.821271152992763	0.949303845877519	1.0279909601094	199.101215226139	191.718151164644	7.38306406149505	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Cheirogaleus_medius	Galago_moholi	96.3333333333333	113.5	99.360634017	0.830645161290323	0.818368602290629	0.868110271891689	0.990696630672457	1.0055583269829	199.101215226139	191.718151164644	7.38306406149505	OU	Cheirogaleidae	STR	Galagidae	STR	superfamily
Macaca_nigra	Pan_troglodytes	113.991666666667	102.492593120251	62.151576032	0.556406784503999	0.511901910758392	0.798077374310482	0.92173438969386	1.00187019653141	199.101215226139	191.718151164644	7.38306406149505	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Cheirogaleus_medius	117	96.3333333333333	121.4130573047	1	0.999999999892104	0.899182757773819	0.998240252950477	0.998240253058184	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Cheirogaleidae	STR	order
Cebuella_pygmaea	Leontopithecus_rosalia	117	111.25	23.8355055678	0.278225806451612	0.196317480956025	0.697172580698558	0.681044371371875	0.965192292258046	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Callithrix_jacchus	Saimiri_sciureus	105.268656716418	113.571428571429	41.3912937953	0.401747025242467	0.340913034476661	0.741124349845803	0.810351668130024	0.954954311357654	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Lemur_catta	Cheirogaleus_medius	108.40597826087	96.3333333333333	71.983496226	0.584160238429194	0.592881011451531	0.786828390353995	0.934046448178534	0.920307423130418	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Daubentonia_madagascariensis	Cheirogaleus_medius	111.046875	96.3333333333333	92.496943882	0.71194556451613	0.761836872618142	0.81924714509129	0.974285687313572	0.910481493591504	199.101215226139	191.718151164644	7.38306406149505	OU	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Cebuella_pygmaea	Gorilla_gorilla	117	104.75	78.0653383507	0.59274193548387	0.642973170063275	0.774861350035058	0.937392518966722	0.864160250956903	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Hapalemur_griseus	117	99.0263157894737	121.4130573085	0.869694397283529	0.999999999923402	0.846444732396663	0.993480511051173	0.864024434337765	199.101215226139	191.718151164644	7.38306406149505	OU	Callitrichidae	PLA	Lemuridae	STR	order
Macaca_nigra	Cheirogaleus_medius	113.991666666667	96.3333333333333	121.413057312	0.854435483870984	0.999999999952229	0.839098795131024	0.992475885874392	0.84800661381788	199.101215226139	191.718151164644	7.38306406149505	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Hapalemur_griseus	Galago_moholi	99.0263157894737	113.5	99.3606340208	0.700339558573852	0.818368602321927	0.796033860634284	0.971672530954345	0.831533259555834	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Galagidae	STR	superfamily
Saimiri_sciureus	Cheirogaleus_medius	113.571428571429	96.3333333333333	121.413057299	0.8341013824885	0.999999999845157	0.828900896112966	0.990922051473145	0.826529453200074	199.101215226139	191.718151164644	7.38306406149505	OU	Cebidae	PLA	Cheirogaleidae	STR	order
Eulemur_sanfordi	Eulemur_fulvus	105.533333333333	102.75	9.5384061272	0.134677419354823	0.0785616171597847	0.569565112711936	0.475885288721161	0.815805541063869	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	103.965555555556	102.75303030303	3.030803714	0.0586705767351286	0.024962749320008	0.457698823464796	0.34664532266508	0.814729208813306	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Mirza_zaza	99.0263157894737	109.902777777778	71.9834962278	0.526280418788917	0.592881011466357	0.737944097711133	0.902390136448133	0.801021199424702	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Eulemur_coronatus	102.108333333333	105.791666666667	14.8274950179	0.178225806451645	0.122124385510603	0.597328610796791	0.531642935631888	0.775868722296141	199.101215226139	191.718151164644	7.38306406149505	OU	Lemuridae	STR	Lemuridae	STR	family
