Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	126.210416666667	99.9886363636364	3.030803714	0.111022022728885	0.024962749320008	0.912035500440277	0.897659234668739	4.05628501738279	325.162711249288	327.010894718907	-1.84818346961822	BM	Lemuridae	STR	Lemuridae	STR	family
Pan_paniscus	Pan_troglodytes	245.924801587302	208.288147338096	4.786270704	0.15935216584099	0.0394213835788014	0.948680933542416	0.938444526537877	3.83483144750225	325.162711249288	327.010894718907	-1.84818346961822	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_gorilla	208.288147338096	297.547895100069	20.238906202	0.377922384761152	0.166694642644773	0.975397785364632	0.971699018328205	2.21137675024919	325.162711249288	327.010894718907	-1.84818346961822	BM	Hominidae	APE	Hominidae	APE	family
Eulemur_albifrons	Eulemur_sanfordi	121.8125	99.4083333333333	5.21120138	0.0948583914647826	0.0429212598308897	0.733763240946853	0.714038245031476	1.62165791559808	325.162711249288	327.010894718907	-1.84818346961822	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nigra	153.314393939394	113	10.9824679321	0.170689614073356	0.0904554104370609	0.831812677487805	0.816823972802313	1.5696328634815	325.162711249288	327.010894718907	-1.84818346961822	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nemestrina	Macaca_nigra	142.333333333333	113	7.6582823365	0.124196220180781	0.0630762663067973	0.770150184755923	0.75212969278069	1.51641413670531	325.162711249288	327.010894718907	-1.84818346961822	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Gorilla_gorilla	113	297.547895100069	62.151576032	0.781368784559597	0.511901910758392	0.991993258647422	0.99320923879859	1.51418181981838	325.162711249288	327.010894718907	-1.84818346961822	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fascicularis	Gorilla_gorilla	124.81914893617	297.547895100069	62.1515760326	0.731326956481436	0.511901910763334	0.986933621713659	0.988709355873378	1.40997942504408	325.162711249288	327.010894718907	-1.84818346961822	BM	Cercopithecidae	OWM	Hominidae	APE	order
Eulemur_coronatus	Eulemur_macaco	82.5952380952381	126.210416666667	13.292473054	0.184665010945955	0.109481412853371	0.824632955331347	0.810567447564152	1.39092883215354	325.162711249288	327.010894718907	-1.84818346961822	BM	Lemuridae	STR	Lemuridae	STR	family
Aotus_trivirgatus	Gorilla_gorilla	93.5151515151515	297.547895100069	78.0653383541	0.863866893625964	0.642973170091279	0.991101516989926	0.993381672534457	1.33159489163214	325.162711249288	327.010894718907	-1.84818346961822	BM	Aotidae	PLA	Hominidae	APE	order
