Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	19370	5716	45.7765141047	0.709814930338948	0.377031228073906	0.999899504825611	0.999899504779707	1.88245308217444	711.138176345509	713.138176345508	-1.99999999999943	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	3605	19370	62.1515760317	0.819557080474111	0.511901910756343	0.999883794318781	0.999883794266614	1.60081809828471	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	3945	19370	62.151576032	0.80188188812643	0.511901910758814	0.99983732541752	0.999837325347447	1.56622084324048	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	4176	19370	62.1515760318	0.789873154501975	0.511901910757166	0.999796318368837	0.999796318283569	1.54270233272107	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	342	19370	78.0653383507	0.989186941152007	0.642973170063805	0.999966834600349	0.999966834583206	1.53840654700042	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	554	19370	78.0653383503	0.978165938864629	0.64297317006051	0.999959449879481	0.999959449858963	1.5212551933168	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	4480	19370	62.1515760327	0.774069453108754	0.511901910764579	0.999727455608442	0.999727455498619	1.51173197158962	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	692	19370	78.0653383511	0.970991890205864	0.642973170067099	0.999953831334956	0.99995383131192	1.51008954340225	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	739	19370	78.0653383533	0.968548554793096	0.642973170085219	0.999951754704177	0.999951754680221	1.50628653253632	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	754	19370	78.0653383502	0.967768766895404	0.642973170059687	0.999951073517905	0.999951073493648	1.50507278131734	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	4727	19370	62.1515760308	0.761228945726762	0.51190191074893	0.999656018387046	0.99965601825274	1.48654865509852	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	1098	19370	78.0653383541	0.949885631108339	0.642973170091808	0.999932707260217	0.999932707228018	1.47723381765077	711.138176345509	713.138176345508	-1.99999999999943	BM	Aotidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	1430	19370	78.065338345	0.932626325639426	0.642973170016858	0.999908934547063	0.999908934504981	1.45035817836102	711.138176345509	713.138176345508	-1.99999999999943	BM	Cebidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	5310	19370	62.151576031	0.730921189436473	0.511901910750577	0.999412200060055	0.999412199847431	1.42701470470023	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	5423	19370	62.151576032	0.725046787273862	0.511901910758814	0.999349316816187	0.999349316584352	1.41545674335897	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Hylobates_lar	15392	5716	45.7765141047	0.503015179871075	0.377031228073906	0.994153081082754	0.994153079678291	1.32634660915196	711.138176345509	713.138176345508	-1.99999999999943	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Alouatta_seniculus	Gorilla_gorilla	3344	19370	78.0653383544	0.833125389893949	0.642973170094279	0.999527253815194	0.999527253638675	1.29512640927507	711.138176345509	713.138176345508	-1.99999999999943	BM	Atelidae	PLA	Hominidae	APE	order
Macaca_mulatta	Papio_anubis	4480	9280	22.4016461426	0.249532127261385	0.18450771801242	0.949362622136093	0.94936261555454	1.2839380227342	711.138176345509	713.138176345508	-1.99999999999943	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebus_albifrons	Gorilla_gorilla	3996	19370	78.0653383462	0.799230609274277	0.642973170026741	0.999202097221529	0.999202096945931	1.24203145353217	711.138176345509	713.138176345508	-1.99999999999943	BM	Cebidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	342	15392	78.0653383507	0.782387190684134	0.642973170063805	0.998972357065112	0.99897235672402	1.21557665607994	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Pan_troglodytes	554	15392	78.0653383503	0.771366188396756	0.64297317006051	0.998790388280317	0.998790387889317	1.19823527744182	711.138176345509	713.138176345508	-1.99999999999943	BM	Callitrichidae	PLA	Hominidae	APE	order
