Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_hamadryas	Chlorocebus_pygerythrus	458.67	74.06	29.8369393138	0.8455011101585	0.245747368307332	0.997420666752044	0.995565498601532	3.43165539001511	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	178.32	458.67	22.4016461419	0.616302842445426	0.184507718007719	0.988767357861481	0.980150654813664	3.30273519041514	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	436.7	74.06	29.8369393139	0.797203719580558	0.245747368308156	0.995512839153649	0.992702083433849	3.22944063949576	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	178.32	436.7	22.401646142	0.568005451867484	0.184507718008542	0.980544621378457	0.968179159968298	3.01859833698944	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Chlorocebus_pygerythrus	361.45	74.06	29.8369393139	0.631779111433533	0.245747368308156	0.975680367122909	0.966514200363035	2.50832584547192	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	246.02	458.67	22.401646142	0.467475653454681	0.184507718008542	0.945535552372278	0.922725420689427	2.39564423093347	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Mandrillus_sphinx	246.02	436.7	22.4016461421	0.419178262876739	0.184507718009366	0.915370850626709	0.886850362584374	2.07960711450689	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	458.67	150.81	38.5936741539	0.67677900151685	0.317870869960345	0.966093178767409	0.961233633822359	2.05690938896041	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Theropithecus_gelada	178.32	361.45	22.401646142	0.40258084372046	0.184507718008542	0.902309931059796	0.871857408262538	1.96876692890747	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	436.7	150.81	38.593674154	0.628481610938908	0.317870869961168	0.951139063286995	0.945037693225739	1.88055423510358	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_hamadryas	361.45	458.67	12.5784127639	0.213721998724967	0.10360016493991	0.759341316683739	0.701095392584923	1.56648345116271	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	6.96	458.67	78.0653383526	0.993009298951395	0.642973170083161	0.971354313567825	0.985044882886666	1.5001619209471	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	10.8	458.67	78.0653383522	0.984567697685155	0.642973170079866	0.969972345278282	0.984168505322361	1.48529282907758	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	12.67	458.67	78.0653383521	0.980456813735189	0.642973170079043	0.969278858947	0.983725603954135	1.47803377479534	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	15.01	458.67	78.0653383536	0.975312712963574	0.642973170091397	0.968391739989228	0.983156074522764	1.46893341600265	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Mandrillus_sphinx	6.96	436.7	78.0653383527	0.944711908373453	0.642973170083984	0.962647832212102	0.979392909929802	1.41440562837462	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	10.8	436.7	78.0653383523	0.936270307107213	0.64297317008069	0.96091499172152	0.978233603753612	1.39924372628197	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Chlorocebus_pygerythrus	Colobus_guereza	74.06	302.35	38.5936741539	0.501857591945305	0.317870869960345	0.88426610706619	0.874602476950411	1.39608784908932	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Mandrillus_sphinx	12.67	436.7	78.0653383522	0.932159423157247	0.642973170079866	0.960046708818523	0.977648777792195	1.39184125860979	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	15.01	436.7	78.0653383537	0.927015322385632	0.642973170092221	0.958937193122235	0.976897756379548	1.38256075459926	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Papio_hamadryas	44.41	458.67	78.0653383489	0.910681703268922	0.642973170052686	0.955239721647557	0.974366029042098	1.35296366513838	238.018124487641	239.278586982343	-1.26046249470207	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Chlorocebus_pygerythrus	246.02	74.06	29.836939314	0.378025456703818	0.245747368308979	0.822184192269098	0.796704691375882	1.2647401146791	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Mandrillus_sphinx	44.41	436.7	78.065338349	0.86238431269098	0.64297317005351	0.942627969029447	0.96542961623781	1.26429470319438	238.018124487641	239.278586982343	-1.26046249470207	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Semnopithecus_vetulus	361.45	150.81	38.593674154	0.463057002791884	0.317870869961168	0.853310645115168	0.842644637535839	1.24305655886527	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Colobus_guereza	150.81	302.35	27.017026324	0.333135483303656	0.22252158804848	0.787943525900237	0.756439159598832	1.17962463605811	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Theropithecus_gelada	6.96	361.45	78.0653383527	0.779287300226428	0.642973170083984	0.914083295749431	0.943830462706823	1.10787438243124	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Theropithecus_gelada	10.8	361.45	78.0653383523	0.770845698960188	0.64297317008069	0.91063161797127	0.941112326299258	1.09173523673191	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Theropithecus_gelada	12.67	361.45	78.0653383522	0.766734815010222	0.642973170079866	0.908910741418036	0.939749620937868	1.08386094725445	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Theropithecus_gelada	15.01	361.45	78.0653383537	0.761590714238607	0.642973170092221	0.906719923688276	0.938007696186515	1.07399422933477	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Nomascus_concolor	6.96	344.53	78.0653383547	0.742091494647057	0.642973170100457	0.898028979604509	0.931022344110919	1.03646574802952	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Callithrix_jacchus	Nomascus_concolor	10.8	344.53	78.0653383543	0.733649893380817	0.642973170097163	0.894071907136357	0.927803836789573	1.02016038903497	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Macaca_arctoides	Macaca_nigra	246.02	178.32	10.9824679321	0.148827188990745	0.0904554104376569	0.618111019881151	0.558364551894851	1.01698422601837	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Nomascus_concolor	12.67	344.53	78.0653383542	0.729539009430851	0.642973170096339	0.892101289305378	0.926192529564494	1.01220816230064	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Leontopithecus_chrysomelas	Nomascus_concolor	15.01	344.53	78.0653383557	0.724394908659236	0.642973170108693	0.889594627844867	0.924134950561271	1.00224682636834	238.018124487641	239.278586982343	-1.26046249470207	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Chlorocebus_pygerythrus	Nomascus_concolor	74.06	344.53	62.1515760359	0.594583305854162	0.511901910793887	0.858032462113115	0.879127028199819	0.99662018659434	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Macaca_arctoides	Theropithecus_gelada	246.02	361.45	22.4016461421	0.253753654729715	0.184507718009366	0.703470293773103	0.662444856894063	0.967483420014169	238.018124487641	239.278586982343	-1.26046249470207	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
