Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pongo_pygmaeus	Pongo_abelii	2054	1214	3.10266931	0.411361410381978	0.0255546592643762	0.999854249056892	0.99634333050487	16.0384528481079	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Pan_troglodytes	1729.67	1350	4.786270704	0.185930460333007	0.0394213835788339	0.833092636069409	0.717919693468187	3.38605921382071	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hominidae	APE	family
Pongo_pygmaeus	Hylobates_lar	2054	262	45.7765141087	0.877571008814887	0.377031228106852	0.965099960142724	0.980306100841418	2.28174259777491	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_lar	1921.75	262	45.7765141047	0.812806072477963	0.377031228073906	0.949279092921069	0.969228683386139	2.08946872517852	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_pygmaeus	Hylobates_muelleri	2054	572	45.7765141084	0.725759059745348	0.377031228104381	0.91894353200742	0.946230841683761	1.82142898193126	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Hylobates_lar	1729.67	262	45.7765141047	0.718741429970617	0.377031228073906	0.915961519890542	0.943872243936104	1.79932068168961	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Piliocolobus_badius	Pongo_pygmaeus	232	2054	62.151576036	0.892262487757101	0.511901910791759	0.93433790148499	0.977008857195815	1.70295975675091	377.492701167597	372.758305366833	4.73439580076388	OU	Cercopithecidae	OWM	Hominidae	APE	order
Colobus_angolensis	Pongo_pygmaeus	304	2054	62.151576036	0.857002938295788	0.511901910791759	0.92293634399024	0.97101839386719	1.62563491000908	377.492701167597	372.758305366833	4.73439580076388	OU	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Hylobates_muelleri	1921.75	572	45.7765141044	0.660994123408423	0.377031228071435	0.887918394331069	0.921010568877771	1.61467413916682	377.492701167597	372.758305366833	4.73439580076388	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Hylobates_lar	Hylobates_muelleri	262	572	6.4663244217	0.15181194906954	0.0532588880022982	0.668429409345771	0.55768677056823	1.58965984431757	377.492701167597	372.758305366833	4.73439580076388	OU	Hylobatidae	APE	Hylobatidae	APE	family
Piliocolobus_badius	Gorilla_gorilla	232	1921.75	62.151576032	0.827497551420176	0.511901910758814	0.912199206861467	0.965016877266926	1.55996507579705	377.492701167597	372.758305366833	4.73439580076388	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Pongo_pygmaeus	14	2054	78.0653383547	0.999020568070519	0.64297317009675	0.934075817443959	0.987436043632149	1.53423029625678	377.492701167597	372.758305366833	4.73439580076388	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Pongo_pygmaeus	18	2054	78.0653383542	0.997061704211557	0.642973170092632	0.93354364680395	0.987261649444234	1.53095156763037	377.492701167597	372.758305366833	4.73439580076388	OU	Callitrichidae	PLA	Hominidae	APE	order
