Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	480.2	433.5	2.069936054	0.0975762641036356	0.0170487104081942	0.99942765267137	0.999427652876607	5.72010517245143	920.798340053062	922.798340053062	-1.99999999999932	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_beringei	Hylobates_lar	480.2	101.5	45.7765141047	0.791266193063101	0.377031228070801	0.999999997140618	0.999999997140621	2.09867547271702	920.798340053062	922.798340053062	-1.99999999999932	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Gorilla_beringei	326.3	480.2	20.238906202	0.321562891767656	0.166694642643537	0.99971669354968	0.999716693661822	1.92850703434828	920.798340053062	922.798340053062	-1.99999999999932	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	433.5	101.5	45.7765141047	0.693689928959465	0.377031228070801	0.999999808121302	0.999999808121454	1.83987358130685	920.798340053062	922.798340053062	-1.99999999999932	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_lowei	Gorilla_beringei	51.2	480.2	62.1515760316	0.896364396155453	0.511901910751303	0.999999992276238	0.999999992276245	1.75104716432213	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_cristatus	Gorilla_beringei	55	480.2	62.1515760321	0.888424571667363	0.511901910755421	0.999999989548251	0.999999989548261	1.73553671849107	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_diana	Gorilla_beringei	55.2	480.2	62.1515760327	0.88800668616799	0.511901910760363	0.999999989381284	0.999999989381294	1.73472037918257	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_beringei	56.7	480.2	62.1515760317	0.884872544922691	0.511901910752127	0.999999988043693	0.999999988043704	1.72859783438346	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_obscurus	Gorilla_beringei	59.3	480.2	62.1515760313	0.87944003343084	0.511901910748832	0.999999985327682	0.999999985327696	1.71798542271689	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Semnopithecus_vetulus	Gorilla_beringei	59.9	480.2	62.151576032	0.87818637693272	0.511901910754598	0.999999984620544	0.999999984620559	1.71553640448842	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_cephus	Gorilla_beringei	60.7	480.2	62.1515760317	0.876514834935228	0.511901910752127	0.999999983626015	0.99999998362603	1.71227104680141	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fascicularis	Gorilla_beringei	60.9	480.2	62.1515760326	0.876096949435855	0.511901910759539	0.999999983367785	0.999999983367801	1.7114547073374	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_neglectus	Gorilla_beringei	60.9	480.2	62.1515760326	0.876096949435855	0.511901910759539	0.999999983367785	0.999999983367801	1.7114547073374	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_beringei	65.9	480.2	62.1515760318	0.865649811951525	0.51190191075295	0.999999975461554	0.999999975461577	1.69104621906285	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_radiata	Gorilla_beringei	70.5	480.2	62.151576033	0.856038445465942	0.511901910762834	0.999999965042353	0.999999965042384	1.67227040482265	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Colobus_polykomos	Gorilla_beringei	71	480.2	62.151576032	0.85499373171751	0.511901910754598	0.999999963679599	0.999999963679631	1.67022955511817	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Colobus_guereza	Gorilla_beringei	72.6	480.2	62.151576032	0.851650647722524	0.511901910754598	0.999999958963611	0.999999958963647	1.66369883542422	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_silenus	Gorilla_beringei	78	480.2	62.151576033	0.840367739239448	0.511901910762834	0.999999938246539	0.999999938246591	1.64165764900451	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Presbytis_comata	Gorilla_beringei	80.3	480.2	62.151576031	0.835562055996657	0.511901910746361	0.999999926619116	0.999999926619178	1.6322697320354	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nigra	Gorilla_beringei	80.3	480.2	62.151576032	0.835562055996657	0.511901910754598	0.999999926619116	0.999999926619178	1.63226973200914	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_geei	Gorilla_beringei	81.3	480.2	62.1515760321	0.833472628499791	0.511901910755421	0.999999920926405	0.999999920926472	1.62818802798401	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Gorilla_beringei	84.3	480.2	62.1515760327	0.827204346009193	0.511901910760363	0.999999901163183	0.999999901163265	1.61594291184076	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Semnopithecus_johnii	Gorilla_beringei	84.6	480.2	62.1515760312	0.826577517760134	0.511901910748009	0.99999989894224	0.999999898942323	1.6147183998986	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_beringei	84.8	480.2	62.151576031	0.826159632260761	0.511901910746361	0.999999897434855	0.99999989743494	1.61390205854286	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_maura	Gorilla_beringei	87.4	480.2	62.151576032	0.820727120768909	0.511901910754598	0.999999875745101	0.999999875745202	1.603289617692	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Semnopithecus_hypoleucos	Gorilla_beringei	88.3	480.2	62.151576032	0.81884663602173	0.511901910754598	0.999999867250577	0.999999867250685	1.59961607901257	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Erythrocebus_patas	Gorilla_beringei	88.9	480.2	62.151576032	0.81759297952361	0.511901910754598	0.999999861278309	0.999999861278421	1.59716705276703	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_beringei	94.9	480.2	62.1515760308	0.805056414542415	0.511901910744714	0.999999785340137	0.999999785340305	1.57267676644911	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Semnopithecus_entellus	Gorilla_beringei	95.2	480.2	62.1515760317	0.804429586293356	0.511901910752127	0.999999780639168	0.99999978063934	1.57145225078586	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fuscata	Gorilla_beringei	96.8	480.2	62.1515760326	0.80108650229837	0.511901910759539	0.999999753838322	0.999999753838513	1.56492149816935	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_lowei	Gorilla_gorilla	51.2	433.5	62.1515760316	0.798788132051818	0.511901910751303	0.999999733606021	0.999999733606226	1.56043160317005	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nemestrina	Gorilla_beringei	98.1	480.2	62.1515760325	0.798370246552445	0.511901910758716	0.999999729758789	0.999999729758997	1.55961525835408	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_arctoides	Gorilla_beringei	99.8	480.2	62.1515760321	0.794818219807773	0.511901910755421	0.99999969481762	0.999999694817853	1.55267632439647	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_beringei	4.2	480.2	78.0653383507	0.994567488508149	0.642973170058509	0.999999989144169	0.999999989144179	1.54682578375827	920.798340053062	922.798340053062	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Trachypithecus_cristatus	Gorilla_gorilla	55	433.5	62.1515760321	0.790848307563728	0.511901910755421	0.999999650602826	0.999999650603091	1.54492103785371	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_diana	Gorilla_gorilla	55.2	433.5	62.1515760327	0.790430422064354	0.511901910760363	0.999999645604137	0.999999645604405	1.54410469139489	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Gorilla_beringei	356.8	480.2	20.238906202	0.257835353113247	0.166694642643537	0.996393661954441	0.996393662899898	1.54117437486696	920.798340053062	922.798340053062	-1.99999999999932	BM	Hominidae	APE	Hominidae	APE	family
Cercopithecus_ascanius	Gorilla_gorilla	56.7	433.5	62.1515760317	0.787296280819056	0.511901910752127	0.999999605850551	0.999999605850847	1.53798208986933	920.798340053062	922.798340053062	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
