Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	6.23928571428571	3.08333333333333	1.4560128688	0.244331797235023	0.0119922263796461	0.999621456262775	0.76303298707734	15.5461725938263	187.999950205205	168.832959379207	19.1669908259982	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Mirza_zaza	Microcebus_murinus	2.43333333333333	13	22.39780098	0.818064516129033	0.184476047921053	0.997590205496531	0.999365969984129	4.43171808960673	187.999950205205	168.832959379207	19.1669908259982	OU	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Cebuella_pygmaea	Callithrix_jacchus	5.26666666666667	0.901807228915663	8.0860732424	0.337924601632336	0.0665997004031833	0.963034837056343	0.841959644393799	4.27207443426695	187.999950205205	168.832959379207	19.1669908259982	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cheirogaleus_medius	Microcebus_murinus	0.666666666666667	13	49.55786972	0.954838709677419	0.408175782859019	0.9827364917403	0.999933327047596	2.33912713065426	187.999950205205	168.832959379207	19.1669908259982	OU	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Pan_paniscus	Pan_troglodytes	4.58333333333333	2.36584894885197	4.786270704	0.17167621041146	0.0394213835788014	0.83165615229673	0.529135039111291	2.30433054509519	187.999950205205	168.832959379207	19.1669908259982	OU	Hominidae	APE	Hominidae	APE	family
Eulemur_macaco	Eulemur_flavifrons	1.91770833333333	3.56449275362319	3.030803714	0.127492987377279	0.024962749320008	0.801412959521276	0.416807214841368	2.1287718071157	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Leontopithecus_rosalia	0.901807228915663	6.23928571428571	23.8355055674	0.413224140802842	0.196317480952731	0.862674683203544	0.915619984622352	1.92726740181932	187.999950205205	168.832959379207	19.1669908259982	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_coquereli	Microcebus_murinus	0.833683473389356	13	69.529333389	0.941908376253727	0.57266767615452	0.952630622795609	0.999916405217842	1.64463558333276	187.999950205205	168.832959379207	19.1669908259982	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Microcebus_murinus	1.06574074074074	13	71.983496227	0.923942652329749	0.592881011459768	0.94408705390404	0.999886064216822	1.55821718750177	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Microcebus_murinus	1.17261904761905	13	71.9834962251	0.915668202764977	0.592881011444119	0.941853660549255	0.999868835654088	1.5442358282213	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Microcebus_murinus	1.35185185185185	13	71.9834962278	0.901792114695341	0.592881011466357	0.937942159262302	0.999834321262053	1.5207818929567	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	1.36111111111111	13	71.983496227	0.901075268817204	0.592881011459768	0.937734312691133	0.999832324281463	1.51956996928579	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Microcebus_murinus	1.37361111111111	13	71.983496226	0.900107526881721	0.592881011451531	0.93745280663798	0.999829592421488	1.51793382543039	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Microcebus_murinus	1.59722222222222	13	71.9834962252	0.882795698924731	0.592881011444942	0.932236621573464	0.999773060783071	1.48865512796419	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_macaco	Microcebus_murinus	1.91770833333333	13	71.9834962251	0.857983870967742	0.592881011444119	0.92414163104704	0.999660778038148	1.4466525448448	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Microcebus_murinus	2.175	13	71.9834962252	0.838064516129032	0.592881011444942	0.917086281273548	0.999535007910683	1.41288860089675	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_tattersalli	Microcebus_murinus	2.66666666666667	13	69.529333389	0.8	0.57266767615452	0.907861891830465	0.999165760150293	1.39580535344299	187.999950205205	168.832959379207	19.1669908259982	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Microcebus_murinus	2.41666666666667	13	71.9834962244	0.819354838709677	0.592881011438353	0.909983889364784	0.999378404415297	1.3811296289842	187.999950205205	168.832959379207	19.1669908259982	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
