Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	470.128571428571	258.055555555556	1.4560128688	0.216290684215212	0.0119922263796461	0.995100934091125	0.717154850218615	12.9345384527856	516.665131386305	496.86822281128	19.7969085750253	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Pan_paniscus	Pan_troglodytes	544.863636363636	256.544302105726	4.786270704	0.29405337507181	0.0394213835788014	0.965121432594744	0.745823079873	5.5632698280291	516.665131386305	496.86822281128	19.7969085750253	OU	Hominidae	APE	Hominidae	APE	family
Cebuella_pygmaea	Callithrix_jacchus	445.433333333333	58.4421686746988	8.0860732424	0.394687572318852	0.0665997004031833	0.970643730127264	0.863672780355412	5.1183550510395	516.665131386305	496.86822281128	19.7969085750253	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Mirza_zaza	Microcebus_murinus	153.316666666667	988	22.39780098	0.851283358830528	0.184476047921053	0.99524882174756	0.998618696465942	4.60822685491559	516.665131386305	496.86822281128	19.7969085750253	OU	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Macaca_arctoides	Macaca_nigra	448.685185185185	73.6666666666667	10.9824679321	0.38247681643908	0.0904554104370609	0.929951626580688	0.849640014839144	3.59257236714482	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cheirogaleus_medius	Microcebus_murinus	50.3333333333333	988	49.55786972	0.956314805371409	0.408175782859019	0.967018971858178	0.999673309176144	2.34213401736764	516.665131386305	496.86822281128	19.7969085750253	OU	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Eulemur_albifrons	Eulemur_sanfordi	332.166666666667	147.325	5.21120138	0.188517763046065	0.0429212598308897	0.805111873373966	0.532067708979759	2.33693546464174	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_fascicularis	448.685185185185	183.651470588235	10.2479298855	0.270304655376797	0.0844055006264766	0.814956540275882	0.690798127498928	2.21224859046641	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	144.458333333333	266.675	3.030803714	0.124647288798233	0.024962749320008	0.738925759800732	0.392886622879144	1.96181324898084	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Leontopithecus_rosalia	58.4421686746988	470.128571428571	23.8355055674	0.419873944675035	0.196317480952731	0.82296367649651	0.885340797017502	1.89352232425488	516.665131386305	496.86822281128	19.7969085750253	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Pan_paniscus	Gorilla_gorilla	544.863636363636	206.871929824561	20.238906202	0.344713622171418	0.166694642644773	0.770922836108506	0.804747715516776	1.6641656597274	516.665131386305	496.86822281128	19.7969085750253	OU	Hominidae	APE	Hominidae	APE	family
Propithecus_coquereli	Microcebus_murinus	53.2916666666667	988	69.529333389	0.953297637259901	0.57266767615452	0.927271641388816	0.99965879689981	1.66409317101657	516.665131386305	496.86822281128	19.7969085750253	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Macaca_nemestrina	Macaca_nigra	259.756542857143	73.6666666666667	7.6582823365	0.189790796726646	0.0630762663067973	0.718298577015838	0.526757396928002	1.58496550126091	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_mulatta	448.685185185185	231.991538825782	10.2479298856	0.221003208933608	0.0844055006273002	0.721477883922657	0.594265815984258	1.55599636654002	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lemur_catta	Microcebus_murinus	84.9427083333333	988	71.983496226	0.921017125616182	0.592881011451531	0.911610317814709	0.99946090059963	1.5526228502113	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Microcebus_murinus	90.1904761904762	988	71.9834962251	0.915664991136689	0.592881011444119	0.909744621802129	0.999419203557163	1.54353598530329	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Microcebus_murinus	90.8722222222222	988	71.983496227	0.9149696866678	0.592881011459768	0.909499937263694	0.999413571441857	1.54235521907207	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Microcebus_murinus	92.4398148148148	988	71.9834962278	0.913370918087899	0.592881011466357	0.90893529023822	0.999400427645531	1.53963994204904	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Eulemur_fulvus	332.166666666667	126.166666666667	9.5384061272	0.210096889342172	0.0785616171597847	0.714387518872945	0.57100174953258	1.5270267558487	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	117.2	988	71.983496227	0.888118306986232	0.592881011459768	0.899635396444576	0.999152895519549	1.49670163293707	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Microcebus_murinus	126.166666666667	988	71.9834962244	0.878973312935577	0.592881011438353	0.896086427519072	0.999041953545702	1.48112555256124	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_macaco	Microcebus_murinus	144.458333333333	988	71.9834962251	0.860317865034847	0.592881011444119	0.888537889724718	0.998772756620473	1.4492993181511	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Microcebus_murinus	147.325	988	71.9834962252	0.85739418663947	0.592881011444942	0.887316611098025	0.998724725104151	1.44430460215021	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Microcebus_murinus	181.294333333333	988	71.983496225	0.822749277579467	0.592881011443295	0.872028690638552	0.998007280003278	1.38494867063267	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_tattersalli	Microcebus_murinus	210.666666666667	988	69.529333389	0.792792792792792	0.57266767615452	0.864403027215441	0.997105823395785	1.38037878398886	516.665131386305	496.86822281128	19.7969085750253	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Eulemur_coronatus	332.166666666667	90.1904761904762	14.8274950179	0.246788567543285	0.122124385510603	0.685584196949677	0.646249521696521	1.30593896598292	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Microcebus_murinus	239.829308390023	988	71.9834962244	0.763050169923485	0.592881011438353	0.841962489331109	0.995856271502569	1.28168769538745	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_rubriventer	Microcebus_murinus	250.595	988	71.983496226	0.752070372259051	0.592881011451531	0.83589257345654	0.995283043427286	1.26251789906527	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_flavifrons	Microcebus_murinus	266.675	988	71.9834962251	0.735670576236614	0.592881011444119	0.826501582297894	0.994292598088573	1.23375819846537	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Microcebus_murinus	Nycticebus_pygmaeus	988	7.5	99.360634016	1	0.818368602282393	0.884675651427791	0.999828242881546	1.22173338529004	516.665131386305	496.86822281128	19.7969085750253	OU	Cheirogaleidae	STR	Lorisidae	STR	superfamily
Daubentonia_madagascariensis	Microcebus_murinus	82.0777777777778	988	92.496943882	0.923939033372996	0.761836872618142	0.868432061829705	0.999482470263197	1.21215039680956	516.665131386305	496.86822281128	19.7969085750253	OU	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Microcebus_murinus	Galago_moholi	988	20.3333333333333	99.360634017	0.986911439741629	0.818368602290629	0.879838302659014	0.999791197547582	1.20569797943235	516.665131386305	496.86822281128	19.7969085750253	OU	Cheirogaleidae	STR	Galagidae	STR	superfamily
Microcebus_murinus	Loris_tardigradus	988	43	99.3606340157	0.963793982661907	0.818368602279922	0.870907952711052	0.999706830932217	1.17735629812067	516.665131386305	496.86822281128	19.7969085750253	OU	Cheirogaleidae	STR	Lorisidae	STR	superfamily
Macaca_arctoides	Macaca_nemestrina	448.685185185185	259.756542857143	10.9824679326	0.192686019712434	0.0904554104411791	0.63857622979568	0.531286665328258	1.1317345459945	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Microcebus_murinus	332.166666666667	988	71.9834962252	0.668876423593404	0.592881011444942	0.784088801932951	0.988034793945288	1.11468096734844	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_tattersalli	Propithecus_coquereli	210.666666666667	53.2916666666667	8.601073458	0.160504844467109	0.0708414205853214	0.609687071526244	0.454862881636403	1.03057922141724	516.665131386305	496.86822281128	19.7969085750253	OU	Indriidae	STR	Indriidae	STR	family
Leontopithecus_rosalia	Saimiri_sciureus	470.128571428571	92.1231481481481	41.3912937967	0.385523124202369	0.340913034488192	0.653087437066038	0.852529919116838	0.964087508086466	516.665131386305	496.86822281128	19.7969085750253	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Callithrix_jacchus	Microcebus_murinus	58.4421686746988	988	121.4130573043	0.948044703034473	0.999999999888809	0.823152477886683	0.999632082380999	0.947695900790001	516.665131386305	496.86822281128	19.7969085750253	OU	Callitrichidae	PLA	Cheirogaleidae	STR	order
Macaca_nigra	Microcebus_murinus	73.6666666666667	988	121.413057312	0.932517423083461	0.999999999952229	0.815956038760874	0.999541238892808	0.932089620402498	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Saimiri_sciureus	Microcebus_murinus	92.1231481481481	988	121.413057299	0.913693882561807	0.999999999845157	0.806943875173938	0.999403104700537	0.913148503119553	516.665131386305	496.86822281128	19.7969085750253	OU	Cebidae	PLA	Cheirogaleidae	STR	order
Macaca_nigra	Pan_paniscus	73.6666666666667	544.863636363636	62.151576032	0.480568046605782	0.511901910758392	0.661347669029532	0.929025084144391	0.872158826822123	516.665131386305	496.86822281128	19.7969085750253	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Saimiri_sciureus	445.433333333333	92.1231481481481	41.3912937957	0.360336751846186	0.340913034479956	0.62067753192228	0.824229474826394	0.871190425992036	516.665131386305	496.86822281128	19.7969085750253	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_albifrons	Eulemur_macaco	332.166666666667	144.458333333333	14.8274950179	0.191441441441442	0.122124385510603	0.564835469822291	0.528084153416819	0.827821496172211	516.665131386305	496.86822281128	19.7969085750253	OU	Lemuridae	STR	Lemuridae	STR	family
